Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",42.5,"8% Buy",49.22%,63.97%,1228100,22.54,103.41
AAON,"Aaon Inc",36.65,"80% Buy",69.39%,15.09%,173310,29.05,40.25
AAT,"American Assets Trust",38.21,"16% Buy",56.79%,14.85%,243950,30.62,41.69
AAWW,"Atlas Air Ww",69.25,"8% Sell",47.26%,25.28%,237435,50.65,75.29
AAXN,"Axon Inc",73.07,"100% Buy",68.56%,41.41%,710325,20.57,73.34
ABAX,"Abaxis Inc",83.29,"72% Buy",64.73%,2.12%,218670,43.66,83.98
ABCB,"Ameris Bancorp",51.7,"72% Sell",37.69%,17.99%,417445,41.05,59.05
ABG,"Asbury Automotive Group Inc",69.4,"8% Sell",46.95%,25.19%,211630,49.1,76.5
ABM,"ABM Industries Incorporated",30.02,"40% Sell",47.78%,23.48%,722545,28.17,45.12
ACET,"Aceto Cp",3.28,"56% Sell",43.42%,62.89%,560475,2.22,17.1
ACLS,"Axcelis Tech Inc",21.8,"24% Buy",54.31%,39.44%,379460,18.6,37.05
ACOR,"Acorda Therapeutics",29.15,"24% Buy",52.89%,34.38%,484375,16.55,36.35
ADC,"Agree Realty Corp",54.42,"80% Buy",60.32%,13.19%,178190,43.74,54.69
ADTN,"Adtran Inc",16.45,"72% Buy",65.49%,29.46%,441175,13.95,25.1
AEGN,"Aegion Corp",25.71,"8% Sell",50.88%,19.58%,84900,19.11,28.19
AEIS,"Advanced Energy",60.46,"24% Sell",47.70%,31.45%,382650,57.03,95
AEL,"American Equity Investment Life",35.15,Hold,51.28%,17.21%,703695,25.43,37.16
AGYS,"Agilysys Inc",16.44,"80% Buy",70.74%,18.33%,125400,9.8,16.8
AHH,"Armada Hoffler Properties Inc",15.42,"72% Buy",61.39%,15.46%,393625,12.73,16
AIN,"Albany International Corp",63.95,"56% Buy",60.05%,15.49%,84135,49.2,68.85
AIR,"AAR Corp",47.08,"32% Buy",52.60%,49.86%,289505,34.25,49.05
AIT,"Applied Industrial Technologies",75.45,"100% Buy",61.08%,21.57%,144790,54,76.2
AJRD,"Aerojet Rocketdyne Holdings",30.41,"48% Buy",56.94%,20.06%,535850,22.74,36.25
AKR,"Acadia Realty Trust",26.79,"8% Buy",51.07%,15.02%,560570,21.34,30.63
AKS,"AK Steel Holding Corp",4.83,"48% Buy",55.78%,44.57%,11806105,4,6.88
ALG,"Alamo Group",90.69,"56% Sell",42.87%,18.45%,52615,86.41,120.58
ALGT,"Allegiant Travel Com",143.8,"32% Sell",47.58%,27.24%,143060,111.54,181.45
ALRM,Alarm.Com,44.38,"64% Buy",59.27%,27.46%,526725,33.39,49.49
AMAG,"Amag Pharmaceuticals",22.15,"16% Buy",52.21%,35.77%,606000,11.93,25.63
AMBC,"Ambac Financial Grp",20.14,"72% Buy",56.29%,15.25%,476765,13.17,22.02
AMED,"Amedisys Inc",95.39,"96% Buy",72.89%,24.23%,313800,45.6,95.7
AMN,"Amn Healthcare Services Inc",61.5,"32% Buy",56.58%,21.30%,346860,34.85,68.2
AMPH,"Amphastar Pharma",16.64,"8% Buy",51.17%,27.76%,214875,14.4,20.45
AMSF,"Amerisafe Inc",61.25,"80% Buy",59.52%,18.07%,74070,51.3,67.82
AMWD,"Amer Woodmark Cp",87.6,"80% Sell",42.47%,39.84%,183290,78.75,148.44
ANDE,"Andersons Inc",35,"24% Buy",54.63%,14.92%,75400,29.6,38
ANF,"Abercrombie & Fitch Company",26.87,"80% Buy",55.51%,40.14%,1830800,9.03,29.2
ANGO,"Angiodynamics Inc",21.55,"8% Buy",51.09%,73.24%,436185,15.16,23.95
ANIK,"Anika Therapeutics",34.12,"64% Sell",41.58%,26.08%,254920,28.54,69.81
ANIP,"ANI Pharma Inc",70.56,"88% Buy",62.63%,20.77%,87295,42.23,74.7
APEI,"American Pub. Edu.",44.25,"72% Buy",55.27%,27.08%,103190,17.4,45.75
APOG,"Apogee Entrpr Inc",48.99,"56% Buy",59.90%,46.44%,273970,37.24,54.24
ARCB,"Arcbest Corp",46.7,"32% Buy",54.84%,34.29%,283255,21.05,50.45
ARI,"Apollo Commercial Real Estate",18.86,"64% Buy",56.65%,9.62%,1096075,17.56,19.06
AROC,"Archrock Inc",12.9,"88% Buy",59.89%,33.70%,1182060,8.25,13.35
ARR,"Armour Residential R",23.14,"40% Buy",50.73%,11.96%,380365,21.4,27.55
ASGN,"On Assignment",84.57,"48% Buy",59.90%,22.64%,235405,44.66,86.13
ASIX,"Advansix Inc",40.08,"72% Buy",59.14%,26.35%,167550,29.55,46.51
ASNA,"Ascena Retail Grp",3.7,"16% Buy",51.86%,57.42%,2954765,1.69,4.74
ASTE,"Astec Inds Inc",61.67,"80% Buy",56.63%,20.18%,102745,45.7,64.8
ATNI,"Atn International",55.17,Hold,50.59%,28.50%,56135,49.34,67.9
ATU,"Actuant Corp",28.05,"24% Buy",56.03%,20.40%,786575,21.5,30.05
AVA,"Avista Corp",50.4,"64% Sell",30.75%,17.04%,564005,47.5,52.91
AVAV,"Aerovironment Inc",74.94,"96% Buy",70.37%,39.61%,515700,36.71,75.25
AVD,"American Vanguard Corp",21.85,"16% Sell",44.33%,21.39%,63240,17.5,24
AVP,"Avon Products",1.47,"80% Sell",33.60%,31.62%,6908480,1.42,3.8
AWR,"American States Water Company",60.84,"100% Buy",65.46%,15.50%,163145,46.87,60.95
AXE,"Anixter International Inc",66,"16% Buy",53.58%,21.35%,181875,56.25,88.85
AXL,"American Axle & Manufacturing",16.47,"24% Buy",49.59%,40.79%,1808105,13.38,20.27
AZZ,"Azz Inc",54.55,"88% Buy",71.68%,46.61%,314575,39.5,54.95
B,"Barnes Group",61.88,"88% Buy",59.21%,15.46%,199370,52.42,72.87
BABY,"Natus Medical Inc",32.55,"64% Sell",39.89%,29.02%,228370,28,43.6
BANC,"First Pactrust Bancorp",19.25,"24% Sell",46.86%,21.57%,456455,17.1,23.4
BANR,"Banner Corp",61.89,"64% Buy",56.65%,13.91%,149755,52.2,62.98
BCC,"Boise Cascade L.L.C.",45.95,"8% Buy",53.30%,23.25%,368510,28,49.3
BCOR,"Blucora Inc",38.05,"40% Buy",54.88%,27.54%,354765,19.05,40.6
BCPC,"Balchem Cp",100.47,"32% Buy",56.98%,20.44%,100910,70.23,104.59
BEAT,"Biotelemetry Inc",50.3,"96% Buy",71.79%,22.38%,274515,23.3,50.5
BEL,"Belmond Ltd",11.45,Hold,50.24%,35.64%,510585,10.3,14.2
BELFB,"Bel Fuse Inc Cl B",22.6,"96% Buy",57.51%,44.58%,25570,17.1,33.45
BFS,"Saul Centers",53.72,"16% Buy",55.15%,22.93%,39215,46.71,65.43
BGFV,"Big 5 Sporting",6.85,"56% Sell",38.45%,30.76%,297625,5.05,12
BGG,"Briggs & Stratton Corp",16.84,"100% Sell",33.85%,27.81%,249750,16.65,27.34
BGS,"B&G Foods Holdings",30.7,"40% Buy",53.11%,37.94%,1045825,22,39.75
BHE,"Benchmark Electronics",29.45,"24% Buy",51.95%,24.07%,290120,25.75,35.8
BHLB,"Berkshire Hills Bancorp",40.95,"48% Buy",50.43%,13.11%,323245,32.85,44.25
BJRI,"Bj's Restaurants Inc",64.35,"100% Buy",69.18%,21.28%,296845,28,65.4
BKE,"Buckle Inc",24.75,"24% Sell",45.93%,40.67%,387210,13.5,28.8
BKS,"Barnes & Noble",5.5,"8% Sell",45.84%,60.07%,1334280,4.1,8.41
BLD,"Topbuild Corp",83.96,"64% Buy",57.48%,30.24%,235530,51.64,87.21
BMI,"Badger Meter",51,"88% Buy",71.11%,34.42%,110355,40.9,52.65
BNED,"Barnes & Noble Education Inc C",5.53,"56% Sell",40.72%,68.25%,536150,4.99,9.1
BOFI,"Bofi Holding Inc",41.3,"24% Sell",48.04%,23.60%,506845,24.2,45.18
BPFH,"Boston Pvt Finl Hldg",15.05,"72% Sell",31.26%,28.62%,420100,13.95,17.85
BRC,"Brady Corp",37.7,"48% Sell",42.58%,23.27%,222725,31.7,40.9
BRKL,"Brookline Bancorp",18.55,"24% Buy",51.52%,13.30%,357415,13.6,19.35
BRKS,"Brooks Automation",32.43,"32% Buy",49.89%,44.21%,710325,21.75,36.45
BRS,"Bristow Group Inc",14.25,"40% Sell",50.21%,34.08%,536745,6.86,18.91
CACI,"Caci International",178.5,"88% Buy",64.39%,22.94%,147295,118.1,180.9
CAL,"Caleres Inc",36.26,"72% Buy",58.57%,30.09%,444840,22.39,37.06
CALM,"Cal-Maine Foods In",45.6,"56% Sell",41.55%,38.62%,335745,33.4,52.3
CAMP,"Calamp Corp",23.22,"16% Buy",52.72%,35.60%,479420,17.52,25.45
CASH,"Meta Financial Grp",97.6,"80% Sell",39.07%,25.30%,74995,60.7,117.97
CATM,"Cardtronics Inc",26.89,"48% Buy",53.83%,34.37%,385080,15.8,34.9
