Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",742278000,11.34,3.37,73950000,2.72,0,0.00%
AAON,"Aaon Inc",1918994000,43.63,0.84,54500000,0.7,0.32,0.87%
AAT,"American Assets Trust",1769903000,18.57,0.45,40130000,0.41,1.08,2.94%
AAWW,"Atlas Air Ww",1676736000,12.32,5.46,223470000,1.18,0,0.00%
AAXN,"Axon Inc",3868301000,163.71,0.42,5210000,0.83,0,0.00%
ABAX,"Abaxis Inc",1900268000,63.88,1.3,27180000,1.3,0.72,0.87%
ABCB,"Ameris Bancorp",1857089000,18.16,2.73,73550000,1.22,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1436710000,9.34,7.3,139100000,1.54,0,0.00%
ABM,"ABM Industries Incorporated",2028736000,19.14,1.61,3800000,0.8,0.7,2.27%
ACET,"Aceto Cp",97604000,3.94,0.8,11380000,1.69,0.04,1.27%
ACLS,"Axcelis Tech Inc",688010000,13.99,1.59,126960000,1.05,0,0.00%
ACOR,"Acorda Therapeutics",1146155000,0,-0.46,-223360000,1.63,0,0.00%
ADC,"Agree Realty Corp",1528098000,18.51,1.91,58110000,0.34,2.16,4.14%
ADTN,"Adtran Inc",778538000,0,-0.06,23840000,0.61,0.36,2.21%
AEGN,"Aegion Corp",787049000,24.76,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2370813000,12.99,4.62,137860000,1.34,0,0.00%
AEL,"American Equity Investment Life",3239996000,10.72,3.34,174650000,2.48,0.26,0.73%
AGYS,"Agilysys Inc",380817000,0,-0.36,-8350000,0.33,0,0.00%
AHH,"Armada Hoffler Properties Inc",679052000,15.11,0.45,21050000,0.52,0.8,5.40%
AIN,"Albany International Corp",2078510000,38.88,1.7,33110000,1.62,0.68,1.03%
AIR,"AAR Corp",1616800000,28.08,1.69,15600000,1.26,0.3,0.63%
AIT,"Applied Industrial Technologies",2823165000,21.26,3.46,133910000,0.95,1.2,1.63%
AJRD,"Aerojet Rocketdyne Holdings",2092860000,33.82,0.83,-9200000,1.13,0,0.00%
AKR,"Acadia Realty Trust",2162951000,18.69,0.58,60830000,0.44,1.08,4.10%
AKS,"AK Steel Holding Corp",1690008000,21.88,0.24,6200000,2.84,0,0.00%
ALG,"Alamo Group",1042675000,19.25,4.73,44320000,0.85,0.44,0.48%
ALGT,"Allegiant Travel Com",2011483000,11.76,10.62,194900000,0.14,2.8,2.24%
ALRM,Alarm.Com,1975303000,41.53,1.03,29250000,1.17,0,0.00%
AMAG,"Amag Pharmaceuticals",729513000,0,-0.32,-199230000,0.32,0,0.00%
AMBC,"Ambac Financial Grp",902067000,3.57,5.58,-328720000,1.69,0,0.00%
AMED,"Amedisys Inc",3182567000,37.06,2.53,30300000,0.59,0,0.00%
AMN,"Amn Healthcare Services Inc",2875785000,22.3,2.74,132560000,0.41,0,0.00%
AMPH,"Amphastar Pharma",798429000,74.74,0.23,4510000,1.34,0,0.00%
AMSF,"Amerisafe Inc",1218195000,19.54,3.24,46230000,0.81,0.88,1.39%
AMWD,"Amer Woodmark Cp",1460160000,16.62,4.94,63140000,1.83,0,0.00%
ANDE,"Andersons Inc",971398000,28.91,1.19,42510000,1.21,0.66,1.92%
ANF,"Abercrombie & Fitch Company",1598488000,24.11,0.96,7090000,0.81,0.8,3.46%
ANGO,"Angiodynamics Inc",778010000,29.34,0.73,16340000,1.03,0,0.00%
ANIK,"Anika Therapeutics",581198000,24.57,1.63,31820000,1.84,0,0.00%
ANIP,"ANI Pharma Inc",795438000,16.44,4.14,-1080000,2.84,0,0.00%
APEI,"American Pub. Edu.",724880000,32.9,1.36,21120000,0.67,0,0.00%
APOG,"Apogee Entrpr Inc",1390319000,15.87,3.1,79490000,1.48,0.63,1.28%
ARCB,"Arcbest Corp",1148672000,23.74,1.87,59730000,1.82,0.32,0.72%
ARI,"Apollo Commercial Real Estate",2334920000,11.42,1.65,193030000,0.51,1.84,9.76%
AROC,"Archrock Inc",975256000,0,-0.1,18950000,2.9,0.48,3.65%
ARR,"Armour Residential R",993741000,8.78,2.68,181150000,0.57,2.28,9.69%
ASGN,"On Assignment",4625412000,24.99,3.62,157680000,1.9,0,0.00%
ASIX,"Advansix Inc",1198650000,15.35,2.57,146700000,1.41,0,0.00%
ASNA,"Ascena Retail Grp",692621000,0,-0.04,-1067300000,1.75,0,0.00%
ASTE,"Astec Inds Inc",1085230000,21.94,2.2,37800000,1.13,0.4,0.83%
ATNI,"Atn International",1014570000,39.87,1.56,31490000,0.5,0.68,1.09%
ATU,"Actuant Corp",1689975000,31.06,0.9,-66210000,1.45,0.04,0.14%
AVA,"Avista Corp",3303201000,26.43,1.9,115920000,0.32,1.49,2.97%
AVAV,"Aerovironment Inc",1737301000,69.32,1.04,20070000,1.19,0,0.00%
AVD,"American Vanguard Corp",634738000,34.27,0.62,20270000,1.07,0.08,0.38%
AVP,"Avon Products",697854000,15.2,0.1,22000000,1.31,0,0.00%
AWR,"American States Water Company",2191817000,32.79,1.84,69370000,0.4,1.02,1.69%
AXE,"Anixter International Inc",2387371000,12.96,5.4,109000000,2.07,0,0.00%
AXL,"American Axle & Manufacturing",1872538000,4.33,3.72,337100000,1.34,0,0.00%
AZZ,"Azz Inc",1388701000,50.66,1.06,45170000,1.24,0.68,1.27%
B,"Barnes Group",3495657000,22.84,2.99,59420000,1.34,0.64,0.94%
BABY,"Natus Medical Inc",1182368000,24.5,1.41,-20290000,0.48,0,0.00%
BANC,"First Pactrust Bancorp",994094000,26.32,0.76,57710000,0.87,0.52,2.60%
BANR,"Banner Corp",2031294000,18.71,3.36,60780000,1.01,1.4,2.23%
