Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(a),"Div Yield(a)"
AAOI,"Applied Optoelect",837250000,16.23,3.37,73950000,2.56,0,0.00%
AAON,"Aaon Inc",2038140000,49.13,0.8,54500000,0.82,0.32,0.81%
AAT,"American Assets Trust",1822220000,18.75,0.4,40130000,0.38,1.08,2.78%
AAWW,"Atlas Air Ww",1550148000,10.08,6.12,223470000,1.16,0,0.00%
AAXN,"Axon Inc",3580013000,111.94,0.42,5210000,0.86,0,0.00%
ABCB,"Ameris Bancorp",2320863000,17.9,2.73,73550000,1.05,0.4,0.82%
ABG,"Asbury Automotive Group Inc",1526250000,10.33,7.3,139100000,1.4,0,0.00%
ABM,"ABM Industries Incorporated",2030051000,19.36,1.61,3800000,0.81,0.7,2.25%
ACET,"Aceto Cp",96681000,4.07,0.8,11380000,1.62,0.04,1.23%
ACLS,"Axcelis Tech Inc",690886000,12.99,1.69,126960000,0.97,0,0.00%
ACOR,"Acorda Therapeutics",1277212000,26.49,1.01,-223360000,1.46,0,0.00%
ADC,"Agree Realty Corp",1563006000,19.22,1.91,58110000,0.33,2.16,3.98%
ADTN,"Adtran Inc",759066000,0,-0.06,23840000,0.61,0.36,2.26%
AEGN,"Aegion Corp",809210000,25.26,0.99,-69050000,1.74,0,0.00%
AEIS,"Advanced Energy",2328218000,13.02,4.69,137860000,1.19,0,0.00%
AEL,"American Equity Investment Life",3238344000,10.06,3.34,174650000,2.4,0.26,0.72%
AGYS,"Agilysys Inc",375144000,0,-0.31,-8350000,0.35,0,0.00%
AHH,"Armada Hoffler Properties Inc",753884000,16.1,0.46,21050000,0.61,0.8,5.12%
AIN,"Albany International Corp",2445590000,32.29,1.7,33110000,1.67,0.68,0.89%
AIR,"AAR Corp",1599430000,27.59,1.69,15600000,1.21,0.3,0.64%
AIT,"Applied Industrial Technologies",2794140000,21.55,3.46,133910000,0.94,1.2,1.61%
AJRD,"Aerojet Rocketdyne Holdings",2741256000,37.32,0.96,-9200000,1.17,0,0.00%
AKR,"Acadia Realty Trust",2170345000,19.02,0.58,60830000,0.41,1.08,4.03%
AKS,"AK Steel Holding Corp",1359848000,16.19,0.27,6200000,2.84,0,0.00%
ALG,"Alamo Group",1120450000,18.4,5.21,44320000,0.87,0.44,0.46%
ALGT,"Allegiant Travel Com",2113728000,12.27,10.62,194900000,0.15,2.8,2.15%
ALRM,Alarm.Com,2398356000,47.72,1.03,29250000,1.16,0,0.00%
AMAG,"Amag Pharmaceuticals",884156000,0,-0.67,-199230000,0.39,0,0.00%
