Symbol,Name,"Market Cap, $K","P/E ttm","EPS ttm","Net Income(a) $M",Beta,Dividend(ttm),"Div Yield(ttm)"
AAOI,"Applied Optoelect",841978000,17.05,2.47,73950000,2.56,N/A,0.00%
AAON,"Aaon Inc",2124369000,50.75,0.8,54500000,0.82,0.29,0.71%
AAT,"American Assets Trust",1863301000,18.84,0.4,40130000,0.38,1.07,2.71%
AAWW,"Atlas Air Ww",1587239000,10.17,6.12,223470000,1.16,N/A,0.00%
AAXN,"Axon Inc",3924936000,125.77,0.53,5210000,0.86,N/A,0.00%
ABCB,"Ameris Bancorp",2359368000,18.3,2.73,73550000,1.05,0.4,0.81%
ABG,"Asbury Automotive Group Inc",1546600000,10.36,7.3,139100000,1.4,N/A,0.00%
ABM,"ABM Industries Incorporated",2038597000,19.03,1.61,3800000,0.81,0.695,2.24%
ACET,"Aceto Cp",103762000,4.14,0.8,11380000,1.62,0.205,6.08%
ACLS,"Axcelis Tech Inc",652054000,11.86,1.69,126960000,0.97,N/A,0.00%
ACOR,"Acorda Therapeutics",1372172000,28.91,1.01,-223360000,1.46,N/A,0.00%
ADC,"Agree Realty Corp",1664239000,20.06,1.91,58110000,0.33,2.085,3.64%
ADTN,"Adtran Inc",809193000,0,-0.06,23840000,0.61,0.36,2.12%
AEGN,"Aegion Corp",806603000,25.17,0.99,-69050000,1.74,N/A,0.00%
AEIS,"Advanced Energy",2333303000,12.66,4.69,137860000,1.19,N/A,0.00%
AEL,"American Equity Investment Life",3364736000,10.44,3.58,174650000,2.4,0.26,0.70%
AGYS,"Agilysys Inc",382670000,0,-0.31,-8350000,0.35,N/A,0.00%
AHH,"Armada Hoffler Properties Inc",774907000,16.2,0.46,21050000,0.61,0.78,4.92%
AIN,"Albany International Corp",2505160000,33.31,2.36,33110000,1.67,0.68,0.87%
AIR,"AAR Corp",1626874000,27.59,1.69,15600000,1.21,0.3,0.64%
AIT,"Applied Industrial Technologies",2979504000,20.74,3.71,141630000,0.94,1.19,1.55%
AJRD,"Aerojet Rocketdyne Holdings",2766204000,38.02,0.96,-9200000,1.17,N/A,0.00%
AKR,"Acadia Realty Trust",2326825000,19.99,0.58,60830000,0.41,1.07,3.75%
AKS,"AK Steel Holding Corp",1410330000,16.33,0.27,6200000,2.84,N/A,0.00%
ALG,"Alamo Group",1162678000,19.1,5.21,44320000,0.87,0.43,0.43%
ALGT,"Allegiant Travel Com",2208264000,12.85,10.62,194900000,0.15,2.8,2.05%
ALRM,Alarm.Com,2611575000,52.67,1.03,29250000,1.16,N/A,0.00%
AMAG,"Amag Pharmaceuticals",849686000,0,-0.67,-199230000,0.39,N/A,0.00%
AMBC,"Ambac Financial Grp",964169000,4.51,4.82,-328720000,1.7,N/A,0.00%
AMED,"Amedisys Inc",3911544000,42.87,2.91,30300000,0.61,N/A,0.00%
AMN,"Amn Healthcare Services Inc",2780540000,21.13,2.07,132560000,0.42,N/A,0.00%
AMPH,"Amphastar Pharma",836843000,120.2,0.15,4510000,1.4,N/A,0.00%
AMSF,"Amerisafe Inc",1211454000,19.04,3.34,46230000,0.79,4.34,6.90%
AMWD,"Amer Woodmark Cp",1508422000,15.58,4.94,63140000,1.82,N/A,0.00%
ANDE,"Andersons Inc",1151810000,28.72,1.41,42510000,1.16,0.655,1.61%
ANF,"Abercrombie & Fitch Company",1855412000,28.25,0.96,7090000,0.72,0.8,2.92%
ANGO,"Angiodynamics Inc",821540000,30.52,0.73,16340000,0.97,N/A,0.00%
ANIK,"Anika Therapeutics",604487000,25.62,1.63,31820000,1.86,N/A,0.00%
ANIP,"ANI Pharma Inc",676913000,13.42,4.27,-1080000,2.78,N/A,0.00%
APEI,"American Pub. Edu.",590299000,23.49,1.52,21120000,0.65,N/A,0.00%
APOG,"Apogee Entrpr Inc",1400213000,16.03,3.1,79490000,1.45,0.613,1.24%
ARCB,"Arcbest Corp",1223652000,19.83,2.42,59730000,1.92,0.32,0.67%
ARI,"Apollo Commercial Real Estate",2380437000,11.78,1.65,193030000,0.54,1.84,9.51%
AROC,"Archrock Inc",1649978000,1280,0.01,18950000,2.92,0.492,3.86%
ARR,"Armour Residential R",995418000,8.79,2.68,181150000,0.64,2.28,9.60%
