Symbol,Name,Last,"Wtd Alpha","YTD %Chg","1M %Chg","3M %Chg","52W %Chg"
AAOI,"Applied Optoelect",37.91,-41.70,+0.24%,-15.57%,+18.62%,-60.77%
AAON,"Aaon Inc",36.65,+6.60,-0.14%,+10.23%,+7.79%,+8.43%
AAT,"American Assets Trust",37.49,-3.50,-1.96%,-2.09%,+11.68%,-6.74%
AAWW,"Atlas Air Ww",65.6,+2.30,+11.85%,-8.51%,+3.47%,+11.28%
AAXN,"Axon Inc",66.42,+137.20,+150.64%,+5.13%,+58.22%,+168.69%
ABAX,"Abaxis Inc",83.09,+73.40,+67.79%,+0.10%,+24.82%,+74.49%
ABCB,"Ameris Bancorp",48.45,-0.90,+0.52%,-9.18%,-6.29%,+5.90%
ABG,"Asbury Automotive Group Inc",70.6,+25.30,+10.31%,+2.99%,+5.29%,+27.90%
ABM,"ABM Industries Incorporated",30.86,-29.50,-18.19%,+5.76%,-0.87%,-31.02%
ACET,"Aceto Cp",3.17,-49.00,-69.31%,-5.37%,+25.79%,-79.60%
ACLS,"Axcelis Tech Inc",21.4,-5.10,-25.44%,+8.08%,-2.73%,-6.35%
ACOR,"Acorda Therapeutics",24.35,+29.70,+13.52%,-15.16%,+5.41%,+12.21%
ADC,"Agree Realty Corp",52.53,+7.40,+2.12%,-0.45%,+7.47%,+6.83%
ADTN,"Adtran Inc",16.25,-24.10,-16.02%,+9.43%,+10.92%,-29.96%
AEGN,"Aegion Corp",24.15,+12.60,-5.03%,-6.21%,+6.43%,+1.09%
AEIS,"Advanced Energy",60.28,-16.80,-10.67%,+3.77%,+1.23%,-16.47%
AEL,"American Equity Investment Life",35.96,+28.60,+17.02%,-0.11%,+19.07%,+32.30%
AGYS,"Agilysys Inc",16.15,+59.90,+31.51%,+4.19%,+37.10%,+60.70%
AHH,"Armada Hoffler Properties Inc",15.01,+11.30,-3.35%,+0.74%,+10.61%,+12.27%
AIN,"Albany International Corp",64.55,+20.30,+5.04%,+7.32%,+9.13%,+18.55%
AIR,"AAR Corp",46.54,+25.40,+18.45%,+0.11%,+7.48%,+28.42%
AIT,"Applied Industrial Technologies",72.95,+25.40,+7.12%,+3.99%,+14.07%,+29.23%
AJRD,"Aerojet Rocketdyne Holdings",27.72,-2.40,-11.15%,-6.00%,-0.79%,+15.79%
AKR,"Acadia Realty Trust",26.51,-7.20,-3.11%,-3.14%,+12.33%,-11.01%
AKS,"AK Steel Holding Corp",5.36,+11.10,-5.30%,+23.50%,+16.78%,-2.01%
ALG,"Alamo Group",89.5,-12.10,-20.71%,-0.95%,-18.24%,-3.93%
ALGT,"Allegiant Travel Com",124.55,-15.20,-19.52%,-10.36%,-22.28%,-4.16%
