Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",42.39,"48% Buy",53.01%,50.25%,1316090,22.54,71.29
AAON,"Aaon Inc",40.85,"48% Buy",64.49%,23.63%,182130,29.05,43.3
AAT,"American Assets Trust",39.3,"48% Buy",57.36%,11.60%,161790,30.62,41.69
AAWW,"Atlas Air Ww",62.1,"16% Sell",42.81%,26.35%,263430,50.65,75.29
AAXN,"Axon Inc",67.08,"48% Buy",53.93%,52.01%,783870,20.57,76.45
ABCB,"Ameris Bancorp",49.5,"48% Sell",44.21%,15.26%,286390,41.05,59.05
ABG,"Asbury Automotive Group Inc",76.05,"56% Buy",60.33%,15.25%,170080,50.3,77.75
ABM,"ABM Industries Incorporated",31.58,"48% Buy",53.78%,33.11%,508935,28.17,44.83
ACET,"Aceto Cp",3.46,"24% Buy",54.86%,22.49%,153345,2.22,11.98
ACLS,"Axcelis Tech Inc",19.95,"72% Sell",43.92%,30.22%,357625,18.75,37.05
ACOR,"Acorda Therapeutics",28.6,"56% Buy",53.90%,26.82%,358850,16.55,36.35
ADC,"Agree Realty Corp",57.22,"96% Buy",70.08%,9.43%,118135,43.74,57.35
ADTN,"Adtran Inc",17,"96% Buy",63.73%,15.88%,206390,13.95,25.1
AEGN,"Aegion Corp",24.96,"32% Sell",49.03%,17.98%,72440,19.81,28.19
AEIS,"Advanced Energy",58.98,"56% Sell",47.17%,20.14%,361430,56.22,95
AEL,"American Equity Investment Life",37.11,"64% Buy",58.08%,16.26%,331610,25.43,38.56
AGYS,"Agilysys Inc",16.14,"56% Buy",53.45%,35.99%,88725,10.1,16.87
AHH,"Armada Hoffler Properties Inc",15.84,"64% Buy",58.52%,11.32%,264450,12.73,16.17
AIN,"Albany International Corp",77.4,"80% Buy",66.64%,55.80%,197470,51.3,79.45
AIR,"AAR Corp",46.6,"48% Buy",52.03%,17.65%,132290,34.25,49.05
AIT,"Applied Industrial Technologies",77.4,"88% Buy",58.59%,22.93%,203370,55.25,78.9
AJRD,"Aerojet Rocketdyne Holdings",35.92,"64% Buy",61.20%,23.57%,551685,24.41,37.7
AKR,"Acadia Realty Trust",28.43,"88% Buy",59.92%,16.31%,415180,21.34,30.63
AKS,"AK Steel Holding Corp",4.49,"32% Sell",49.25%,34.49%,10939385,4,6.8
ALG,"Alamo Group",97.55,"24% Buy",55.40%,15.60%,85280,87.54,120.58
ALGT,"Allegiant Travel Com",134.85,"32% Sell",48.32%,15.61%,132135,111.54,181.45
ALRM,Alarm.Com,54.71,"64% Buy",65.80%,39.29%,582465,33.39,57.92
AMAG,"Amag Pharmaceuticals",24.55,"24% Buy",56.73%,26.59%,496295,11.93,26.1
AMBC,"Ambac Financial Grp",21.26,"16% Buy",54.26%,20.21%,390375,13.17,23.34
AMED,"Amedisys Inc",122.98,"96% Buy",79.50%,16.30%,372405,45.6,126.3
AMN,"Amn Healthcare Services Inc",59.05,"16% Sell",52.62%,49.19%,435680,36.9,68.2
AMPH,"Amphastar Pharma",18.27,"80% Buy",60.03%,23.75%,134905,14.4,20.45
