Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",39.58,-1.76,-4.26%,41.85,39.37,1275000,08/16/18
AAON,"Aaon Inc",40.25,0.3,+0.75%,40.75,39.95,123200,08/16/18
AAT,"American Assets Trust",39.05,0.08,+0.21%,39.15,38.9,110800,08/16/18
AAWW,"Atlas Air Ww",59.88,1.42,+2.44%,60.2,58.4,237400,08/16/18
AAXN,"Axon Inc",62.66,1.64,+2.69%,62.77,61.14,570700,08/16/18
ABCB,"Ameris Bancorp",49.35,0.65,+1.33%,49.65,48.9,244700,08/16/18
ABG,"Asbury Automotive Group Inc",74.4,0,unch,75.65,74.25,181300,08/16/18
ABM,"ABM Industries Incorporated",31.47,0.32,+1.03%,31.58,31.29,380300,08/16/18
ACET,"Aceto Cp",3.21,-0.02,-0.62%,3.31,3.19,165300,08/16/18
ACLS,"Axcelis Tech Inc",20.05,-0.2,-0.99%,20.4,20,171600,08/16/18
ACOR,"Acorda Therapeutics",27.85,-0.1,-0.36%,28.2,27.2,248100,08/16/18
ADC,"Agree Realty Corp",55.45,0.8,+1.46%,55.5,54.48,95500,08/16/18
ADTN,"Adtran Inc",16.45,0.4,+2.49%,16.5,16.1,199900,08/16/18
AEGN,"Aegion Corp",24.63,0.17,+0.70%,24.65,24.14,54400,08/16/18
AEIS,"Advanced Energy",58.68,-0.45,-0.76%,59.78,58.51,322000,08/16/18
AEL,"American Equity Investment Life",37.07,0.69,+1.90%,37.33,36.57,505500,08/16/18
AGYS,"Agilysys Inc",15.92,0.08,+0.51%,16.17,15.85,66200,08/16/18
AHH,"Armada Hoffler Properties Inc",15.85,0.18,+1.15%,15.9,15.68,198800,08/16/18
AIN,"Albany International Corp",75.75,-1.7,-2.19%,78.3,75.68,283200,08/16/18
AIR,"AAR Corp",44.34,-0.39,-0.87%,45.21,43.99,238900,08/16/18
AIT,"Applied Industrial Technologies",76.4,0.05,+0.07%,77.05,76.35,281300,08/16/18
AJRD,"Aerojet Rocketdyne Holdings",36.01,-0.17,-0.47%,36.88,35.93,530900,08/16/18
AKR,"Acadia Realty Trust",27.84,0.22,+0.80%,27.87,27.57,290100,08/16/18
AKS,"AK Steel Holding Corp",4.24,0.16,+3.92%,4.27,4.14,11024399,08/16/18
