Symbol,Name,Last,Opinion,"20D Rel Str","20D His Vol","20D Avg Vol","52W Low","52W High"
AAOI,"Applied Optoelect",42.74,"48% Buy",54.00%,51.39%,1285470,22.54,71.29
AAON,"Aaon Inc",40.65,"48% Buy",63.61%,23.95%,191610,29.05,43.3
AAT,"American Assets Trust",39.46,"48% Buy",59.03%,11.72%,162440,30.62,41.69
AAWW,"Atlas Air Ww",62.05,"16% Sell",42.63%,26.58%,262885,50.65,75.29
AAXN,"Axon Inc",67.3,"48% Buy",54.41%,52.08%,801710,20.57,76.45
ABCB,"Ameris Bancorp",49.65,"24% Sell",44.97%,16.79%,315070,41.05,59.05
ABG,"Asbury Automotive Group Inc",76,"72% Buy",60.18%,15.21%,177660,50.3,77.75
ABM,"ABM Industries Incorporated",31.01,"8% Sell",50.01%,32.51%,526055,28.17,44.83
ACET,"Aceto Cp",3.37,"8% Sell",51.71%,24.23%,143025,2.22,11.98
ACLS,"Axcelis Tech Inc",20.15,"48% Sell",45.16%,31.11%,370500,18.75,37.05
ACOR,"Acorda Therapeutics",28.9,"56% Buy",55.72%,26.63%,374515,16.55,36.35
ADC,"Agree Realty Corp",57.21,"96% Buy",70.03%,9.57%,117560,43.74,57.3
ADTN,"Adtran Inc",16.95,"96% Buy",63.10%,16.18%,214090,13.95,25.1
AEGN,"Aegion Corp",24.75,"48% Sell",46.81%,18.65%,74485,19.81,28.19
AEIS,"Advanced Energy",59.66,"16% Sell",49.54%,21.16%,387420,56.22,95
AEL,"American Equity Investment Life",37.27,"88% Buy",59.76%,16.14%,333295,25.43,38.56
AGYS,"Agilysys Inc",16.27,"56% Buy",55.22%,35.95%,90015,10.1,16.87
AHH,"Armada Hoffler Properties Inc",15.85,"40% Buy",58.79%,13.63%,276190,12.73,16.17
AIN,"Albany International Corp",77.8,"80% Buy",68.07%,55.85%,192245,51.3,79.45
AIR,"AAR Corp",46.83,"48% Buy",53.29%,17.94%,130760,34.25,49.05
AIT,"Applied Industrial Technologies",76.95,"88% Buy",57.34%,26.25%,214960,55.25,78.9
AJRD,"Aerojet Rocketdyne Holdings",36.59,"80% Buy",65.53%,23.24%,639285,24.41,37.7
AKR,"Acadia Realty Trust",28.55,"96% Buy",61.39%,16.12%,399865,21.34,30.63
AKS,"AK Steel Holding Corp",4.47,"24% Sell",48.70%,34.67%,11728850,4,6.8
ALG,"Alamo Group",99.12,"48% Buy",60.50%,14.29%,84915,87.54,120.58
ALGT,"Allegiant Travel Com",136.65,"8% Sell",51.01%,15.64%,135655,111.54,181.45
ALRM,Alarm.Com,54.75,"72% Buy",65.94%,38.98%,582285,33.39,57.92
AMAG,"Amag Pharmaceuticals",24.65,"56% Buy",57.55%,26.51%,514295,11.93,26.1
AMBC,"Ambac Financial Grp",21.27,"16% Buy",54.42%,20.24%,383320,13.17,23.34
AMED,"Amedisys Inc",122.85,"96% Buy",79.40%,35.99%,423890,45.6,126.3
AMN,"Amn Healthcare Services Inc",58.55,"16% Sell",51.17%,49.61%,444830,36.9,68.2
AMPH,"Amphastar Pharma",18.09,"72% Buy",58.18%,24.28%,137350,14.4,20.45
AMSF,"Amerisafe Inc",62.9,"48% Buy",53.68%,13.43%,81620,51.55,67.82
AMWD,"Amer Woodmark Cp",85.95,"16% Sell",49.39%,40.58%,172895,80.1,148.44
ANDE,"Andersons Inc",40.7,"80% Buy",68.12%,44.37%,151400,29.6,41.7
ANF,"Abercrombie & Fitch Company",27.37,"32% Buy",53.80%,55.38%,1982640,11.61,29.69
