iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Jul 19, 2018"
Total Net Assets,"45,144,865,409.66"
Shares Outstanding,"519,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.59","232.54","1,147,144.00","266,756,865.76","266,756,865.76","Health Care","2501578","US53220K5048","NASDAQ"
"STMP","STAMPS.COM INC","Equity","0.53","274.60","865,917.00","237,780,808.20","237,780,808.20","Information Technology","B013D75","US8528572006","NASDAQ"
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.52","178.50","1,329,244.00","237,270,054.00","237,270,054.00","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.51","81.98","2,824,180.00","231,526,276.40","231,526,276.40","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"FCFS","FIRSTCASH INC","Equity","0.50","92.85","2,444,824.00","227,001,908.40","227,001,908.40","Financials","BZCG9B4","US33767D1054","New York Stock Exchange Inc."
"NEOG","NEOGEN CORP","Equity","0.50","81.79","2,773,683.00","226,859,532.57","226,859,532.57","Health Care","2630085","US6404911066","NASDAQ"
"AAXN","AXON ENTERPRISE INC","Equity","0.50","73.07","3,089,268.00","225,732,812.76","225,732,812.76","Industrials","BDT5S35","US05464C1018","NASDAQ"
"ASGN","ASGN INC","Equity","0.49","84.57","2,647,221.00","223,875,479.97","223,875,479.97","Industrials","BFY8W20","US00191U1025","New York Stock Exchange Inc."
"TREX","TREX INC","Equity","0.48","68.41","3,167,760.00","216,706,461.60","216,706,461.60","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"PDCE","PDC ENERGY INC","Equity","0.48","60.77","3,555,435.00","216,063,784.95","216,063,784.95","Energy","B89M5F2","US69327R1014","NASDAQ"
"GDOT","GREEN DOT CORP CLASS A","Equity","0.45","81.43","2,517,012.00","204,960,287.16","204,960,287.16","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"NGVT","INGEVITY CORP","Equity","0.45","90.05","2,267,288.00","204,169,284.40","204,169,284.40","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"KFY","KORN FERRY INTERNATIONAL","Equity","0.44","65.77","3,040,568.00","199,978,157.36","199,978,157.36","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"INGN","INOGEN INC","Equity","0.44","213.49","935,976.00","199,821,516.24","199,821,516.24","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"SR","SPIRE INC","Equity","0.43","72.55","2,712,373.00","196,782,661.15","196,782,661.15","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"NSP","INSPERITY INC","Equity","0.43","98.10","2,001,053.00","196,303,299.30","196,303,299.30","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.43","53.70","3,636,101.00","195,258,623.70","195,258,623.70","Financials","2266026","US32020R1095","NASDAQ"
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.41","36.52","5,107,671.00","186,532,144.92","186,532,144.92","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.40","57.65","3,157,771.00","182,045,498.15","182,045,498.15","Financials","2766173","US8163001071","NASDAQ"
"TTEK","TETRA TECH INC","Equity","0.40","60.70","2,996,759.00","181,903,271.30","181,903,271.30","Industrials","2883890","US88162G1031","NASDAQ"
"PRLB","PROTO LABS INC","Equity","0.40","134.35","1,349,076.00","181,248,360.60","181,248,360.60","Industrials","B6T6J81","US7437131094","New York Stock Exchange Inc."
"SMTC","SEMTECH CORP","Equity","0.40","50.80","3,558,773.00","180,785,668.40","180,785,668.40","Information Technology","2795542","US8168501018","NASDAQ"
"EGP","EASTGROUP PROPERTIES REIT INC","Equity","0.40","95.78","1,867,601.00","178,878,823.78","178,878,823.78","Real Estate","2455761","US2772761019","New York Stock Exchange Inc."
"AVA","AVISTA CORP","Equity","0.39","50.40","3,539,062.00","178,368,724.80","178,368,724.80","Utilities","2942605","US05379B1070","New York Stock Exchange Inc."
"WWE","WORLD WRESTLING ENTERTAINMENT INC","Equity","0.39","82.12","2,151,101.00","176,648,414.12","176,648,414.12","Consumer Discretionary","2503529","US98156Q1085","New York Stock Exchange Inc."
"DAR","DARLING INGREDIENTS INC","Equity","0.39","19.81","8,872,875.00","175,771,653.75","175,771,653.75","Consumer Staples","2250289","US2372661015","New York Stock Exchange Inc."
"BCPC","BALCHEM CORP","Equity","0.38","100.47","1,724,309.00","173,241,325.23","173,241,325.23","Materials","2072074","US0576652004","NASDAQ"
"GBCI","GLACIER BANCORP INC","Equity","0.38","40.37","4,269,223.00","172,348,532.51","172,348,532.51","Financials","2370585","US37637Q1058","NASDAQ"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.38","35.15","4,858,018.00","170,759,332.70","170,759,332.70","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"CBU","COMMUNITY BANK SYSTEM INC","Equity","0.38","62.02","2,746,109.00","170,313,680.18","170,313,680.18","Financials","2222062","US2036071064","New York Stock Exchange Inc."
"QLYS","QUALYS INC","Equity","0.38","96.35","1,765,023.00","170,059,966.05","170,059,966.05","Information Technology","B7XJTN8","US74758T3032","NASDAQ"
"FFBC","FIRST FINANCIAL BANCORP","Equity","0.37","32.00","5,262,172.00","168,389,504.00","168,389,504.00","Financials","2352806","US3202091092","NASDAQ"
"HI","HILLENBRAND INC","Equity","0.37","49.50","3,363,348.00","166,485,726.00","166,485,726.00","Industrials","B2QGDP1","US4315711089","New York Stock Exchange Inc."
"COLB","COLUMBIA BANKING SYSTEM INC","Equity","0.37","41.95","3,948,752.00","165,650,146.40","165,650,146.40","Financials","2176608","US1972361026","NASDAQ"
