iShares Core S&P Small-Cap ETF
Inception Date,"May 22, 2000"
Fund Holdings as of,"Aug 15, 2018"
Total Net Assets,"45,698,664,979.10"
Shares Outstanding,"525,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"LGND","LIGAND PHARMACEUTICALS INC","Equity","0.63","247.37","1,166,537.00","288,566,257.69","288,566,257.69","Health Care","2501578","US53220K5048","NASDAQ"
"TREX","TREX INC","Equity","0.55","77.42","3,225,083.00","249,685,925.86","249,685,925.86","Industrials","2483074","US89531P1057","New York Stock Exchange Inc."
"HQY","HEALTHEQUITY INC","Equity","0.54","85.40","2,876,987.00","245,694,689.80","245,694,689.80","Health Care","BP8XZL1","US42226A1079","NASDAQ"
"CACI","CACI INTERNATIONAL INC CLASS A","Equity","0.53","180.35","1,351,722.00","243,783,062.70","243,783,062.70","Information Technology","2159267","US1271903049","New York Stock Exchange Inc."
"ASGN","ASGN INC","Equity","0.53","90.03","2,691,842.00","242,346,535.26","242,346,535.26","Industrials","BFY8W20","US00191U1025","New York Stock Exchange Inc."
"NEOG","NEOGEN CORP","Equity","0.51","83.08","2,824,810.00","234,685,214.80","234,685,214.80","Health Care","2630085","US6404911066","NASDAQ"
"NSP","INSPERITY INC","Equity","0.50","110.75","2,045,973.00","226,591,509.75","226,591,509.75","Industrials","2007281","US45778Q1076","New York Stock Exchange Inc."
"NGVT","INGEVITY CORP","Equity","0.49","96.69","2,305,165.00","222,886,403.85","222,886,403.85","Materials","BD4LHG4","US45688C1071","New York Stock Exchange Inc."
"INGN","INOGEN INC","Equity","0.48","228.66","953,891.00","218,116,716.06","218,116,716.06","Health Care","BJSVLL5","US45780L1044","NASDAQ"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Equity","0.47","58.75","3,694,907.00","217,075,786.25","217,075,786.25","Financials","2266026","US32020R1095","NASDAQ"
"GDOT","GREEN DOT CORP CLASS A","Equity","0.47","83.40","2,560,705.00","213,562,797.00","213,562,797.00","Financials","B3WNNP3","US39304D1028","New York Stock Exchange Inc."
"TTEK","TETRA TECH INC","Equity","0.46","69.35","3,049,190.00","211,461,326.50","211,461,326.50","Industrials","2883890","US88162G1031","NASDAQ"
"SR","SPIRE INC","Equity","0.46","75.75","2,758,960.00","208,991,220.00","208,991,220.00","Utilities","BYXJQG9","US84857L1017","New York Stock Exchange Inc."
"SIGI","SELECTIVE INSURANCE GROUP INC","Equity","0.44","62.90","3,208,849.00","201,836,602.10","201,836,602.10","Financials","2766173","US8163001071","NASDAQ"
"KFY","KORN FERRY INTERNATIONAL","Equity","0.44","64.95","3,096,209.00","201,098,774.55","201,098,774.55","Industrials","2386849","US5006432000","New York Stock Exchange Inc."
"STMP","STAMPS.COM INC","Equity","0.44","231.75","865,917.00","200,676,264.75","200,676,264.75","Information Technology","B013D75","US8528572006","NASDAQ"
"FCFS","FIRSTCASH INC","Equity","0.43","79.40","2,488,247.00","197,566,811.80","197,566,811.80","Financials","BZCG9B4","US33767D1054","New York Stock Exchange Inc."
"WWW","WOLVERINE WORLD WIDE INC","Equity","0.43","37.91","5,195,027.00","196,943,473.57","196,943,473.57","Consumer Discretionary","2977500","US9780971035","New York Stock Exchange Inc."
