S&P Small-Cap 600 ETF (VIOO)
Holding details,06/30/2018

Equity holdings
,SEDOL,Ticker,Holding name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type,
,="2501578","LGND      ","LIGAND PHARM","49,426","$10,239,584.00","0.54500","Biotechnology","US  ",-,
,="B013D75","STMP      ","STAMPS.COM INC","38,735","$9,801,892.00","0.52200","Internet Software & Services","US  ",-,
,="2159267","CACI      ","CACI INTL-A","57,251","$9,649,656.00","0.51400","IT Consulting & Other Services","US  ",-,
,="2630085","NEOG      ","NEOGEN CORP","119,819","$9,608,286.00","0.51200","Health Care Supplies","US  ",-,
,="BZCG9B4","FCFS      ","FIRSTCASH INC","105,231","$9,455,005.00","0.50400","Consumer Finance","US  ",-,
,="B89M5F2","PDCE      ","PDC ENERGY INC","153,279","$9,265,716.00","0.49400","Oil & Gas Exploration & Production","US  ",-,
,="BP8XZL1","HQY       ","HEALTHEQUITY INC","122,022","$9,163,852.00","0.48800","Managed Health Care","US  ",-,
,="BFY8W20","ASGN      ","ASGN INC","113,999","$8,913,582.00","0.47500","Human Resource & Employment Services","US  ",-,
,="2483074","TREX      ","TREX CO INC","136,402","$8,537,401.00","0.45500","Building Products","US  ",-,
,="BDT5S35","AAXN      ","AXON ENTERPRISE","133,487","$8,433,709.00","0.44900","Aerospace & Defense","US  ",-,
,="2007281","NSP       ","INSPERITY INC","86,883","$8,275,606.00","0.44100","Human Resource & Employment Services","US  ",-,
,="BYXJQG9","SR        ","SPIRE INC","116,635","$8,240,263.00","0.43900","Gas Utilities","US  ",-,
,="2386849","KFY       ","KORN/FERRY INTL","131,033","$8,114,874.00","0.43200","Human Resource & Employment Services","US  ",-,
,="2942605","AVA       ","AVISTA CORP","152,640","$8,038,022.00","0.42800","Multi-Utilities","US  ",-,
,="2266026","FFIN      ","FIRST FIN BANKSH","156,625","$7,972,213.00","0.42500","Regional Banks","US  ",-,
,="B3WNNP3","GDOT      ","GREEN DOT CORP-A","108,319","$7,949,531.00","0.42300","Consumer Finance","US  ",-,
,="BD4LHG4","NGVT      ","INGEVITY CORP","97,594","$7,891,451.00","0.42000","Specialty Chemicals","US  ",-,
,="2455761","EGP       ","EASTGROUP PROP","80,996","$7,739,978.00","0.41200","Industrial REITs","US  ",-,
,="2977500","WWW       ","WOLVERINE WORLD","219,484","$7,631,459.00","0.40700","Footwear","US  ",-,
,="2250289","DAR       ","DARLING INGREDIE","381,722","$7,588,633.00","0.40400","Agricultural Products","US  ",-,
,="2883890","TTEK      ","TETRA TECH INC","128,910","$7,541,235.00","0.40200","Environmental & Facilities Services","US  ",-,
,="2766173","SIGI      ","SELECT INS GRP","136,925","$7,530,875.00","0.40100","Property & Casualty Insurance","US  ",-,
,="2191300","AEL       ","AMER EQUITY INVT","208,989","$7,523,604.00","0.40100","Life & Health Insurance","US  ",-,
,="BJSVLL5","INGN      ","INOGEN INC","40,359","$7,520,092.00","0.40100","Health Care Equipment","US  ",-,
,="2072074","BCPC      ","BALCHEM CORP","74,381","$7,299,751.00","0.38900","Specialty Chemicals","US  ",-,
,="2795542","SMTC      ","SEMTECH CORP","153,395","$7,217,235.00","0.38400","Semiconductors","US  ",-,
,="B72ZBG4","SUPN      ","SUPERNUS PHARMAC","120,263","$7,197,741.00","0.38300","Pharmaceuticals","US  ",-,
,="2370585","GBCI      ","GLACIER BANCORP","184,108","$7,121,297.00","0.37900","Regional Banks","US  ",-,
,="B0L2NP0","KS        ","KAPSTONE PAPER A","204,363","$7,050,524.00","0.37600","Paper Products","US  ",-,
,="2222062","CBU       ","COMMUNITY BANK S","117,932","$6,966,243.00","0.37100","Regional Banks","US  ",-,
,="2352806","FFBC      ","FIRST FIN BANCRP","226,680","$6,947,742.00","0.37000","Regional Banks","US  ",-,
,="2176608","COLB      ","COLUMBIA BANKING","169,637","$6,938,153.00","0.37000","Regional Banks","US  ",-,
,="B188HK1","SFLY      ","SHUTTERFLY INC","76,869","$6,920,516.00","0.36900","Internet & Direct Marketing Retail","US  ",-,
,="B6T6J81","PRLB      ","PROTO LABS INC","58,067","$6,907,070.00","0.36800","Industrial Machinery","US  ",-,
,="B2QGDP1","HI        ","HILLENBRAND INC","144,875","$6,830,856.00","0.36400","Industrial Machinery","US  ",-,
,="2503529","WWE       ","WORLD WRESTLIN-A","92,702","$6,750,560.00","0.36000","Movies & Entertainment","US  ",-,
,="2825933","SJI       ","SOUTH JERSEY IND","198,234","$6,634,892.00","0.35300","Gas Utilities","US  ",-,
,="B65V2X6","FNGN      ","FINANCIAL ENGINE","147,671","$6,630,428.00","0.35300","Asset Management & Custody Banks","US  ",-,
,="2080732","B         ","BARNES GROUP INC","112,237","$6,610,759.00","0.35200","Industrial Machinery","US  ",-,
,="2682105","PENN      ","PENN NATL GAMING","195,995","$6,583,472.00","0.35100","Casinos & Gaming","US  ",-,
,="B3BRJZ8","JBT       ","JOHN BEAN TECH","73,641","$6,546,685.00","0.34900","Industrial Machinery","US  ",-,
,="2553911","SHOO      ","STEVEN MADDEN","122,646","$6,512,503.00","0.34700","Footwear","US  ",-,
,="2813552","AMN       ","AMN HEALTHCARE","110,881","$6,497,627.00","0.34600","Health Care Services","US  ",-,
,="BZ0P3W2","BLD       ","TOPBUILD COR","82,802","$6,486,709.00","0.34600","Homebuilding","US  ",-,
,="B15JLG1","VG        ","VONAGE HOLDINGS","500,936","$6,457,065.00","0.34400","Alternative Carriers","US  ",-,
,="2572381","CCMP      ","CABOT MICROELEC","60,006","$6,454,245.00","0.34400","Semiconductor Equipment","US  ",-,
,="B7XJTN8","QLYS      ","QUALYS INC","75,938","$6,401,573.00","0.34100","Systems Software","US  ",-,
,="2466428","UNF       ","UNIFIRST CORP/MA","35,959","$6,361,147.00","0.33900","Diversified Support Services","US  ",-,
,="2354664","FUL       ","HB FULLER CO","117,346","$6,299,133.00","0.33600","Specialty Chemicals","US  ",-,
,="2086309","AIT       ","APPLIED INDU TEC","89,747","$6,295,752.00","0.33500","Trading Companies & Distributors","US  ",-,
,="2814210","SKYW      ","SKYWEST INC","120,622","$6,260,282.00","0.33300","Airlines","US  ",-,
,="BYXR425","RH        ","RH","44,363","$6,197,511.00","0.33000","Homefurnishing Retail","US  ",-,
,="B45K9N8","VAC       ","MARRIOTT VACATIO","54,806","$6,190,886.00","0.33000","Hotels, Resorts & Cruise Lines","US  ",-,
,="BD8ZX20","SRCI      ","SRC ENERGY INC","561,489","$6,187,609.00","0.33000","Oil & Gas Exploration & Production","US  ",-,
,="2341439","FMBI      ","FIRST MIDWEST/IL","239,000","$6,087,330.00","0.32400","Regional Banks","US  ",-,
,="2614153","MYGN      ","MYRIAD GENETICS","162,050","$6,055,809.00","0.32300","Biotechnology","US  ",-,
,="2719070","RLI       ","RLI CORP","91,071","$6,027,989.00","0.32100","Property & Casualty Insurance","US  ",-,
,="2707956","PSB       ","PS BUSINESS PARK","46,641","$5,993,369.00","0.31900","Diversified REITs","US  ",-,
,="2580555","MMSI      ","MERIT MEDICAL","116,862","$5,983,334.00","0.31900","Health Care Supplies","US  ",-,
,="2809250","SSD       ","SIMPSON MFG","95,359","$5,930,376.00","0.31600","Building Products","US  ",-,
,="2601218","MOG.A     ","MOOG INC-CLASS A","75,233","$5,865,165.00","0.31200","Aerospace & Defense","US  ",-,
,="2330318","EXPO      ","EXPONENT INC","120,632","$5,826,526.00","0.31000","Research & Consulting Services","US  ",-,
,="B06DT50","LHCG      ","LHC GROUP INC","67,697","$5,794,186.00","0.30900","Health Care Services","US  ",-,
,="2658441","ONB       ","OLD NATL BANCORP","310,211","$5,769,925.00","0.30700","Regional Banks","US  ",-,
,="BRHZ1X6","GWB       ","GREAT WESTERN BA","136,525","$5,732,685.00","0.30500","Regional Banks","US  ",-,
,="B090B96","DRH       ","DIAMONDROCK HOSP","465,316","$5,714,080.00","0.30400","Hotel & Resort REITs","US  ",-,
,="2024332","AMED      ","AMEDISYS INC","66,280","$5,664,289.00","0.30200","Health Care Services","US  ",-,
,="2851808","EE        ","EL PASO ELECTRIC","94,276","$5,571,712.00","0.29700","Electric Utilities","US  ",-,
,="2452698","IIVI      ","II-VI INC","127,609","$5,544,611.00","0.29500","Electronic Components","US  ",-,
,="2616773","MDCO      ","MEDICINES COMP","150,049","$5,506,798.00","0.29300","Pharmaceuticals","US  ",-,
,="2307787","MGLN      ","MAGELLAN HEALTH","57,084","$5,477,210.00","0.29200","Managed Health Care","US  ",-,
,="2810133","SFNC      ","SIMMONS FIRST -A","181,641","$5,431,066.00","0.28900","Regional Banks","US  ",-,
,="BQV0M37","TVPT      ","TRAVELPORT WORLD","291,896","$5,411,752.00","0.28800","Data Processing & Outsourced Services","US  ",-,
,="BYXB201","VIAV      ","VIAVI SOLUTIONS","526,598","$5,392,364.00","0.28700","Communications Equipment","US  ",-,
,="2145460","BRKS      ","BROOKS AUTOMATIO","163,364","$5,328,934.00","0.28400","Semiconductor Equipment","US  ",-,
,="BYN87K7","HOPE      ","HOPE BANCORP INC","298,363","$5,319,812.00","0.28300","Regional Banks","US  ",-,
,="2160645","CVBF      ","CVB FINANCIAL","237,233","$5,318,764.00","0.28300","Regional Banks","US  ",-,
,="2351449","FCN       ","FTI CONSULTING","87,837","$5,312,382.00","0.28300","Research & Consulting Services","US  ",-,
,="2049175","AEIS      ","ADV ENERGY INDS","91,131","$5,293,800.00","0.28200","Semiconductor Equipment","US  ",-,
,="2469171","JJSF      ","J & J SNACK FOOD","34,626","$5,279,426.00","0.28100","Packaged Foods & Meats","US  ",-,
,="BYQ44Y5","LCII      ","LCI INDUSTRIES","58,435","$5,267,915.00","0.28100","Auto Parts & Equipment","US  ",-,
,="2862156","UCBI      ","UNITED COMMUNITY","171,259","$5,252,514.00","0.28000","Regional Banks","US  ",-,
,="2515030","LAD       ","LITHIA MOTORS-A","55,439","$5,242,866.00","0.27900","Automotive Retail","US  ",-,
,="B0637D4","BOFI      ","BOFI HOLDING INC","127,705","$5,224,412.00","0.27800","Thrifts & Mortgage Finance","US  ",-,
,="2906496","UFPI      ","UNIVERSAL FOREST","142,658","$5,224,136.00","0.27800","Building Products","US  ",-,
,="2566522","AKR       ","ACADIA REALTY","189,433","$5,184,781.00","0.27600","Retail REITs","US  ",-,
,="B06RWD1","CCOI      ","COGENT COMMUNICA","96,823","$5,170,348.00","0.27500","Alternative Carriers","US  ",-,
,="BWD7PX9","AJRD      ","AEROJET ROCKETDY","174,870","$5,156,916.00","0.27500","Aerospace & Defense","US  ",-,
,="2943620","WTS       ","WATTS WATER TE-A","64,573","$5,062,523.00","0.27000","Industrial Machinery","US  ",-,
,="2092801","CRZO      ","CARRIZO OIL&GAS","180,688","$5,032,161.00","0.26800","Oil & Gas Exploration & Production","US  ",-,
,="2447821","INDB      ","INDEP BANK/MA","64,065","$5,022,696.00","0.26800","Regional Banks","US  ",-,
