"Name","Symbol","Average Vol. (3m)","Market Cap","Revenue","P/E Ratio","Beta"
"8x8","EGHT","1.01M","2.01B","296.50M","","0.51"
"A Schulman","SHLM","398.75K","1.29B","2.69B","63.57","1.32"
"AAON","AAON","190.57K","1.87B","418.24M","43.68","0.78"
"AAR","AIR","223.81K","1.60B","2.19B","27.2","1.2"
"ABAXIS","ABAX","214.97K","1.91B","244.70M","62.62","1.44"
"Abercrombie&Fitch","ANF","2.76M","1.79B","3.56B","42.68","0.78"
"ABM Industries","ABM","880.83K","1.93B","5.99B","29.09","0.79"
"Acadia","AKR","645.12K","2.17B","434.88M","40.24","0.42"
"Aceto","ACET","467.77K","104.99M","737.10M","","1.63"
"Acorda","ACOR","712.87K","1.39B","575.07M","","1.54"
"Actuant","ATU","537.56K","1.71B","1.16B","","1.4"
"ADTRAN","ADTN","614.96K","766.63M","560.49M","","0.56"
"Advanced Energy","AEIS","457.14K","2.36B","717.27M","11","1.18"
"AdvanSix","ASIX","197.19K","1.17B","1.46B","15.75",""
"Aegion","AEGN","146.81K","821.33M","1.36B","","1.75"
"Aerojet Rocketdyne","AJRD","639.08K","2.31B","1.96B","35.48","1.11"
"AeroVironment","AVAV","360.74K","1.79B","271.06M","68.73","1.15"
"Agilysys","AGYS","43.36K","387.62M","127.36M","","0.34"
"Agree","ADC","193.81K","1.66B","124.57M","25.58","0.37"
"AK Steel","AKS","12.55M","1.51B","6.21B","","2.86"
"Alamo","ALG","68.33K","1.05B","935.09M","18.44","0.84"
"Albany","AIN","95.90K","2.04B","894.42M","52.21","1.66"
"Allegiant","ALGT","157.19K","2.24B","1.93B","17","0.22"
"Allete","ALE","239.14K","3.97B","1.41B","25.63","0.29"
"AMAG","AMAG","1.23M","756.90M","616.83M","","0.39"
"Amedisys","AMED","336.51K","3.18B","1.56B","51.37","0.61"
"American Assets","AAT","265.16K","1.77B","321.93M","82.82","0.39"
"American Axle&Manufacturing","AXL","1.99M","1.87B","7.07B","5.93","1.39"
"American Equity Inv. Life","AEL","667.49K","3.16B","3.10B","10.82","2.37"
"American Public Education","APEI","109.20K","726.48M","298.53M","42.17","0.66"
"American States Water","AWR","216.12K","2.21B","535.33M","33.08","0.27"
"American Vanguard","AVD","88.23K","712.46M","388.48M","36.15","1.01"
