"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","-0.23%","-0.46%","8.02%","52.84%","57.88%","157.78%"
"A Schulman","SHLM","-0.80%","-1.03%","-2.59%","15.97%","66.80%","13.48%"
"AAON","AAON","1.68%","2.39%","8.02%","-0.95%","-3.07%","57.91%"
"AAR","AIR","1.43%","7.29%","-1.89%","19.19%","27.26%","57.31%"
"ABAXIS","ABAX","-0.07%","0.01%","0.33%","68.19%","60.82%","54.16%"
"Abercrombie&Fitch","ANF","0.91%","8.44%","-3.38%","52.61%","176.51%","23.49%"
"ABM Industries","ABM","0.99%","-4.57%","-2.47%","-21.45%","-32.61%","-9.03%"
"Acadia","AKR","-0.90%","-2.34%","-3.73%","-3.69%","-8.28%","-15.95%"
"Aceto","ACET","-4.69%","-6.88%","-22.25%","-68.54%","-78.99%","-87.27%"
"Acorda","ACOR","-3.04%","-2.71%","-5.90%","33.80%","37.32%","-18.67%"
"Actuant","ATU","0.00%","1.63%","-3.27%","11.07%","15.40%","22.17%"
"ADTRAN","ADTN","0.31%","3.08%","5.59%","-17.05%","-32.56%","-1.53%"
"Advanced Energy","AEIS","1.58%","1.81%","-0.18%","-9.75%","-19.63%","133.24%"
"AdvanSix","ASIX","2.32%","1.87%","0.72%","-6.80%","15.39%","-"
"Aegion","AEGN","0.35%","-0.59%","-4.72%","0.04%","6.62%","43.81%"
"Aerojet Rocketdyne","AJRD","-0.13%","2.55%","4.41%","-2.08%","32.77%","27.72%"
"AeroVironment","AVAV","-0.29%","1.89%","24.61%","32.62%","95.43%","164.30%"
"Agilysys","AGYS","-0.06%","-0.67%","6.07%","33.79%","56.63%","72.95%"
"Agree","ADC","-0.39%","-1.87%","-1.14%","3.29%","12.44%","71.94%"
"AK Steel","AKS","2.72%","6.97%","4.03%","-13.25%","-23.99%","83.21%"
"Alamo","ALG","-0.16%","-0.07%","-3.55%","-20.53%","-2.61%","72.47%"
"Albany","AIN","0.55%","2.42%","3.00%","3.50%","16.91%","63.58%"
"Allegiant","ALGT","2.91%","2.88%","-2.29%","-7.56%","-0.87%","-28.89%"
"Allete","ALE","-0.31%","-0.66%","1.81%","3.82%","6.12%","63.21%"
"AMAG","AMAG","0.91%","1.14%","2.06%","67.92%","16.49%","-70.10%"
"Amedisys","AMED","1.53%","-0.25%","8.00%","79.80%","61.31%","116.27%"
"American Assets","AAT","-0.43%","-3.09%","-1.06%","-2.46%","-7.49%","-9.75%"
"American Axle&Manufacturing","AXL","1.79%","4.48%","-7.40%","-0.00%","3.09%","-15.57%"
"American Equity Inv. Life","AEL","1.00%","-0.20%","-1.25%","15.36%","27.52%","30.91%"
"American Public Education","APEI","1.35%","0.56%","2.28%","79.24%","91.06%","67.54%"
"American States Water","AWR","-0.27%","1.23%","3.60%","3.80%","22.82%","54.17%"
"American Vanguard","AVD","0.00%","-1.78%","-1.34%","12.21%","17.29%","73.90%"
"American Woodmark","AMWD","1.39%","-5.05%","-10.53%","-32.82%","-13.54%","50.09%"
"Ameris","ABCB","1.47%","-0.96%","-10.42%","7.05%","9.44%","98.61%"
"AMERISAFE","AMSF","0.41%","2.80%","1.94%","-1.70%","6.04%","33.25%"
"AMN Healthcare Services","AMN","-0.25%","1.09%","0.58%","22.74%","57.83%","94.37%"
"Amneal Pharma A","AMRX","-1.28%","0.71%","1.26%","10.81%","2.79%","-62.52%"
"Amphastar P","AMPH","-0.30%","-1.80%","-0.79%","-14.92%","-8.65%","-5.16%"
"AngioDynamics","ANGO","-0.71%","2.10%","-6.77%","25.86%","32.89%","35.47%"
"ANI Pharma","ANIP","1.13%","-0.59%","4.27%","9.95%","46.44%","2.99%"
