"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"8x8","EGHT","1.59%","1.82%","6.68%","58.51%","64.94%","161.40%"
"A Schulman","SHLM","0.34%","-0.34%","1.86%","17.72%","56.05%","23.17%"
"AAON","AAON","1.92%","2.32%","11.34%","8.31%","22.69%","71.11%"
"AAR","AIR","0.65%","-1.55%","2.12%","17.74%","28.82%","73.58%"
"Abercrombie&Fitch","ANF","9.58%","13.01%","14.51%","67.99%","205.96%","53.94%"
"ABM Industries","ABM","1.40%","-0.64%","3.42%","-17.34%","-29.20%","-7.40%"
"Acadia","AKR","1.95%","1.19%","1.42%","-0.80%","-6.77%","-15.84%"
"Aceto","ACET","1.26%","0.62%","-1.53%","-68.83%","-80.04%","-87.28%"
"Acorda","ACOR","2.52%","6.95%","-5.17%","32.63%","32.02%","-10.65%"
"Actuant","ATU","1.77%","2.50%","2.87%","13.44%","25.33%","23.97%"
"ADTRAN","ADTN","0.62%","1.57%","1.25%","-16.28%","-25.86%","1.57%"
"Advanced Energy","AEIS","0.79%","-3.69%","1.83%","-11.03%","-17.12%","125.38%"
"AdvanSix","ASIX","0.86%","-0.70%","-9.98%","-18.71%","7.31%","-"
"Aegion","AEGN","1.92%","-0.84%","-1.50%","-2.12%","21.06%","30.66%"
"Aerojet Rocketdyne","AJRD","1.66%","8.18%","22.62%","19.52%","36.49%","65.37%"
"AeroVironment","AVAV","2.37%","6.10%","14.61%","46.85%","117.03%","213.81%"
"Agilysys","AGYS","0.69%","3.10%","-3.33%","29.89%","53.81%","70.04%"
"Agree","ADC","1.49%","1.23%","1.17%","5.79%","10.99%","79.49%"
"AK Steel","AKS","-2.00%","-6.81%","-8.04%","-26.24%","-23.11%","32.54%"
"Alamo","ALG","1.78%","1.15%","9.14%","-13.71%","7.00%","89.40%"
"Albany","AIN","1.52%","0.20%","22.85%","24.65%","49.03%","124.70%"
"Allegiant","ALGT","1.93%","4.54%","-2.85%","-12.89%","9.24%","-41.57%"
"Allete","ALE","1.27%","1.23%","0.71%","4.88%","4.36%","50.91%"
"AMAG","AMAG","-1.78%","-1.19%","15.01%","87.92%","42.69%","-60.44%"
"Amedisys","AMED","2.48%","5.92%","24.72%","121.46%","129.06%","157.23%"
"American Assets","AAT","0.78%","-0.03%","1.85%","0.97%","-5.11%","-7.41%"
"American Axle&Manufacturing","AXL","2.37%","-4.81%","-0.12%","-2.41%","15.18%","-22.52%"
"American Equity Inv. Life","AEL","1.22%","-1.20%","4.00%","18.39%","29.42%","29.60%"
"American Public Education","APEI","2.49%","-19.56%","-21.28%","39.52%","94.71%","58.65%"
"American States Water","AWR","0.97%","-0.07%","-0.35%","2.99%","21.10%","52.57%"
"American Vanguard","AVD","1.28%","-1.74%","-9.20%","0.51%","-0.25%","72.04%"
"American Woodmark","AMWD","2.21%","-1.82%","-0.95%","-35.97%","-12.21%","27.56%"
"Ameris","ABCB","1.44%","-0.30%","-4.09%","2.18%","9.44%","74.15%"
"AMERISAFE","AMSF","0.63%","2.01%","6.10%","3.08%","12.49%","33.52%"
"AMN Healthcare Services","AMN","2.53%","2.25%","-5.02%","15.23%","49.93%","61.04%"
"Amneal Pharma A","AMRX","3.31%","9.71%","19.48%","32.97%","19.35%","-50.99%"
"Amphastar P","AMPH","0.28%","-1.61%","9.07%","-8.11%","18.74%","20.77%"
"AngioDynamics","ANGO","0.47%","1.04%","2.98%","28.98%","26.92%","44.15%"
"ANI Pharma","ANIP","-0.14%","0.16%","-18.72%","-11.33%","27.97%","4.36%"
"Anika","ANIK","2.46%","3.05%","20.56%","-21.15%","-19.75%","18.21%"
"Anixter","AXE","2.86%","-2.04%","11.91%","-5.39%","-1.84%","15.46%"
"Apogee","APOG","1.18%","-0.16%","0.36%","8.81%","-1.58%","-8.31%"
"Applied Industrial Technologies","AIT","4.63%","3.15%","6.00%","12.85%","36.50%","88.50%"
"ArcBest Corp","ARCB","0.87%","-3.14%","6.93%","29.51%","77.06%","41.98%"
"Archrock","AROC","-1.37%","-4.77%","-1.41%","19.71%","37.38%","-11.29%"
"Asbury Automotive","ABG","0.54%","-0.66%","10.55%","17.11%","46.39%","-10.48%"
"ASGN","ASGN","0.90%","-1.85%","9.72%","40.30%","91.04%","129.15%"
"Astec","ASTE","0.41%","-0.30%","-23.89%","-20.91%","-3.30%","19.90%"
"Atlas Air","AAWW","-0.50%","-3.07%","-12.36%","2.13%","-3.65%","32.93%"
"ATN Int","ATNI","1.69%","10.09%","29.66%","32.52%","22.27%","-1.21%"
"Avista","AVA","0.69%","0.83%","1.25%","-0.89%","-1.41%","51.11%"
"Axon Enterprise","AAXN","2.18%","4.23%","-9.72%","135.13%","187.67%","159.73%"
"AZZ","AZZ","0.93%","-0.09%","0.37%","5.77%","9.63%","1.22%"
"B&G Foods","BGS","0.16%","1.14%","4.03%","-11.81%","-2.05%","4.41%"
"Badger Meter","BMI","-0.19%","0.29%","15.75%","9.94%","16.91%","-14.57%"
"Balchem","BCPC","0.81%","-1.84%","2.34%","24.26%","34.12%","65.81%"
"Banc of California","BANC","1.52%","-0.25%","3.90%","-3.15%","3.09%","59.24%"
"Banner","BANR","2.35%","1.71%","8.28%","19.99%","18.40%","37.96%"
"Barnes","B","0.06%","-1.90%","9.84%","4.27%","9.35%","59.04%"
"Barnes & Noble Education Inc","BNED","1.79%","5.91%","14.84%","-23.91%","-8.20%","-54.33%"
"Barnes&Noble","BKS","2.03%","5.55%","17.38%","-6.27%","-16.27%","-64.72%"
"Bel Fuse B","BELFB","4.28%","1.79%","23.08%","1.67%","-2.10%","27.17%"
"Belmond","BEL","1.27%","42.60%","40.71%","29.80%","26.69%","35.32%"
"Benchmark Electronics","BHE","0.69%","-0.12%","-13.01%","-11.96%","-20.31%","16.99%"
"Big 5","BGFV","0.00%","5.31%","-10.53%","-21.71%","-27.44%","-46.35%"
"Biglari","BH","3.40%","7.39%","4.35%","-51.76%","-35.97%","-52.96%"
"BioTelemetry","BEAT","-0.54%","-5.10%","11.59%","83.61%","50.00%","372.46%"
"BJs Restaurants","BJRI","1.67%","1.34%","2.81%","76.10%","94.24%","38.80%"
"Black Box","BBOX","11.26%","13.51%","-3.45%","-52.68%","-55.20%","-89.41%"
"Blackbaud","BLKB","1.78%","1.33%","-14.53%","3.93%","15.15%","55.92%"
"Blucora","BCOR","-0.29%","-0.29%","-8.34%","56.56%","48.18%","150.18%"
"BofI Holding","BOFI","3.36%","2.47%","-5.97%","27.46%","37.98%","18.65%"
"Boise Cascad Llc","BCC","2.19%","0.68%","-4.63%","11.03%","48.41%","40.59%"
"Boston Private","BPFH","1.08%","-1.75%","-12.77%","-9.39%","-5.41%","12.36%"
"Bottomline","EPAY","1.24%","4.90%","8.29%","71.74%","102.17%","128.20%"
"Boyd Gaming","BYD","2.79%","-1.42%","-6.78%","0.88%","35.01%","101.48%"
"Brady","BRC","0.13%","-1.06%","0.40%","-1.19%","15.23%","57.42%"
"Briggs&Stratton","BGG","7.85%","6.49%","3.17%","-26.88%","-23.00%","-7.20%"
"Brinks","BCO","0.71%","-2.67%","-4.74%","-0.44%","2.62%","158.07%"
"Bristow","BRS","-3.40%","-7.37%","-22.41%","-18.78%","50.27%","-72.59%"
"Brookline Bancorp","BRKL","1.69%","0.00%","-2.70%","14.65%","28.11%","66.67%"
"Brooks Automation","BRKS","-0.37%","-0.91%","-8.09%","23.90%","17.03%","167.18%"
"Buckle","BKE","6.07%","15.50%","21.00%","17.68%","95.45%","-30.71%"
"Cabot","CCMP","0.26%","-1.34%","6.58%","29.05%","73.29%","165.61%"
"CACI","CACI","0.61%","-0.41%","1.74%","36.91%","40.68%","114.56%"
"Cal-Maine","CALM","3.27%","6.47%","9.41%","11.74%","38.94%","-4.79%"
"CalAmp","CAMP","1.33%","1.90%","-1.59%","10.08%","28.07%","42.19%"
"Calavo Growers","CVGW","3.71%","7.60%","7.72%","20.73%","41.63%","92.26%"
"Caleres","CAL","5.04%","6.28%","10.52%","10.72%","49.36%","13.43%"
"California Water Service","CWT","1.50%","0.12%","-0.85%","-10.36%","7.11%","80.35%"
"Callaway Golf","ELY","1.32%","3.19%","21.36%","62.31%","73.79%","149.83%"
"Cambrex","CBM","0.58%","-3.50%","9.67%","26.46%","13.56%","23.75%"
"Cantel Medical","CMD","-0.72%","0.44%","-0.89%","-7.21%","24.66%","76.50%"
"Capstead Mortgage","CMO","0.72%","2.82%","-2.10%","-3.01%","-13.33%","-22.39%"
"Carbo Ceramics","CRR","1.43%","-3.61%","-10.01%","-16.11%","39.54%","-71.67%"
"Cardtronics","CATM","5.54%","4.70%","19.79%","71.92%","18.98%","-9.88%"
