"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","22.35","22.35","22.00","+0.30","+1.36%","309.40K","16:00:00"
"A Schulman","SHLM","43.70","43.90","43.65","-0.05","-0.11%","228.03K","16:00:02"
"AAON","AAON","40.25","40.75","39.95","+0.30","+0.75%","121.45K","16:00:02"
"AAR","AIR","44.33","45.20","43.99","-0.40","-0.89%","227.20K","16:00:00"
"Abercrombie&Fitch","ANF","27.37","27.45","26.83","+0.63","+2.36%","1.01M","16:00:00"
"ABM Industries","ABM","31.47","31.56","31.29","+0.32","+1.03%","379.98K","16:00:00"
"Acadia","AKR","27.85","27.87","27.57","+0.23","+0.83%","241.82K","16:00:00"
"Aceto","ACET","3.21","3.31","3.19","-0.02","-0.62%","165.31K","16:00:02"
"Acorda","ACOR","27.85","28.20","27.20","-0.10","-0.36%","246.71K","16:00:02"
"Actuant","ATU","29.00","29.08","28.60","+0.55","+1.93%","152.50K","16:00:00"
"ADTRAN","ADTN","16.45","16.50","16.10","+0.40","+2.49%","198.44K","16:00:01"
"Advanced Energy","AEIS","58.68","59.78","58.52","-0.45","-0.76%","302.68K","16:00:01"
"AdvanSix","ASIX","33.15","33.48","32.90","+0.04","+0.11%","250.89K","16:00:00"
"Aegion","AEGN","24.63","24.65","24.14","+0.17","+0.69%","54.29K","16:00:01"
"Aerojet Rocketdyne","AJRD","36.02","36.88","35.93","-0.16","-0.44%","480.08K","16:00:00"
"AeroVironment","AVAV","83.55","84.69","82.10","+2.13","+2.62%","227.77K","16:00:02"
"Agilysys","AGYS","15.92","16.15","15.85","+0.08","+0.51%","65.91K","16:00:02"
"Agree","ADC","55.49","55.50","54.48","+0.84","+1.54%","68.59K","16:00:00"
"AK Steel","AKS","4.250","4.269","4.140","+0.170","+4.17%","10.53M","16:00:00"
"Alamo","ALG","97.13","97.23","95.90","+1.06","+1.10%","105.70K","16:00:00"
"Albany","AIN","75.85","78.30","75.70","-1.60","-2.07%","280.82K","16:00:00"
"Allegiant","ALGT","135.70","138.35","135.10","+0.40","+0.30%","143.01K","16:00:02"
"Allete","ALE","78.62","78.75","77.50","+0.79","+1.01%","143.98K","16:00:00"
"AMAG","AMAG","24.45","24.95","24.25","-0.35","-1.41%","513.83K","16:00:02"
"Amedisys","AMED","117.54","118.01","115.43","+1.41","+1.21%","291.19K","16:00:02"
"American Assets","AAT","39.03","39.15","38.90","+0.06","+0.15%","85.53K","16:00:00"
"American Axle&Manufacturing","AXL","16.70","16.91","16.44","+0.35","+2.17%","1.38M","16:00:00"
"American Equity Inv. Life","AEL","37.07","37.33","36.60","+0.69","+1.90%","452.56K","16:00:00"
"American Public Education","APEI","34.90","35.20","34.35","-0.05","-0.14%","169.88K","16:00:02"
"American States Water","AWR","60.06","60.06","59.01","+0.64","+1.08%","74.49K","16:00:00"
"American Vanguard","AVD","19.70","19.85","19.45","+0.35","+1.81%","47.12K","16:00:00"
"American Woodmark","AMWD","82.55","83.35","81.90","+1.10","+1.35%","100.54K","16:00:02"
"Ameris","ABCB","49.35","49.65","48.90","+0.65","+1.33%","241.76K","16:00:02"
"AMERISAFE","AMSF","63.95","64.35","63.70","+0.35","+0.55%","47.20K","16:00:02"
"AMN Healthcare Services","AMN","57.35","57.40","56.35","+1.00","+1.77%","210.35K","16:00:00"
