"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"8x8","EGHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AAON","AAON","Strong Sell","Neutral","Strong Buy","Strong Buy"
"AAR","AIR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Abercrombie&Fitch","ANF","Strong Sell","Strong Sell","Strong Sell","Neutral"
"ABM Industries","ABM","Strong Buy","Strong Buy","Neutral","Sell"
"Acadia","AKR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Aceto","ACET","Sell","Sell","Strong Sell","Strong Sell"
"Acorda","ACOR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Actuant","ATU","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"ADTRAN","ADTN","Strong Buy","Strong Buy","Buy","Strong Sell"
"Advanced Energy","AEIS","Strong Buy","Buy","Strong Sell","Sell"
"AdvanSix","ASIX","Strong Buy","Sell","Strong Sell","Sell"
"Aegion","AEGN","Strong Sell","Sell","Neutral","Strong Buy"
"Aerojet Rocketdyne","AJRD","Strong Sell","Sell","Strong Buy","Strong Buy"
"AeroVironment","AVAV","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Agilysys","AGYS","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Agree","ADC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AK Steel","AKS","Strong Buy","Neutral","Strong Sell","Strong Sell"
"Alamo","ALG","Strong Sell","Strong Sell","Neutral","Neutral"
"Albany","AIN","Neutral","Buy","Strong Buy","Strong Buy"
"Allegiant","ALGT","Strong Buy","Strong Buy","Sell","Strong Sell"
"Allete","ALE","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"AMAG","AMAG","Sell","Neutral","Strong Buy","Strong Buy"
"Amedisys","AMED","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Assets","AAT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Axle&Manufacturing","AXL","Sell","Strong Buy","Strong Buy","Strong Buy"
"American Equity Inv. Life","AEL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Public Education","APEI","Strong Sell","Strong Sell","Strong Sell","Strong Buy"
"American States Water","AWR","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Vanguard","AVD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"American Woodmark","AMWD","Strong Sell","Sell","Strong Sell","Neutral"
"Ameris","ABCB","Strong Buy","Sell","Strong Sell","Neutral"
"AMERISAFE","AMSF","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AMN Healthcare Services","AMN","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Amneal Pharma A","AMRX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Amphastar P","AMPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AngioDynamics","ANGO","Buy","Strong Buy","Strong Buy","Strong Buy"
"ANI Pharma","ANIP","Strong Buy","Neutral","Strong Sell","Neutral"
"Anika","ANIK","Buy","Sell","Neutral","Strong Sell"
"Anixter","AXE","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Apogee","APOG","Strong Sell","Sell","Strong Buy","Strong Buy"
"Applied Industrial Technologies","AIT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"ArcBest Corp","ARCB","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Archrock","AROC","Buy","Neutral","Strong Buy","Strong Buy"
"Asbury Automotive","ABG","Strong Sell","Sell","Strong Buy","Strong Buy"
"ASGN","ASGN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Assertio Therapeutics","ASRT","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Astec","ASTE","Sell","Neutral","Strong Sell","Strong Sell"
"Atlas Air","AAWW","Strong Sell","Strong Sell","Strong Sell","Buy"
"ATN Int","ATNI","Buy","Buy","Strong Buy","Strong Buy"
"Avista","AVA","Neutral","Neutral","Neutral","Strong Buy"
"Axon Enterprise","AAXN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"AZZ","AZZ","Strong Sell","Neutral","Strong Buy","Strong Buy"
