Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",42.5,-0.5,-1.16%,43.93,42.13,1171400,07/19/18
AAON,"Aaon Inc",36.65,0.3,+0.83%,37.03,35.75,195900,07/19/18
AAT,"American Assets Trust",38.21,0.91,+2.44%,38.32,37.34,211500,07/19/18
AAWW,"Atlas Air Ww",69.25,-1.3,-1.84%,70.45,69.05,351800,07/19/18
AAXN,"Axon Inc",73.07,1.52,+2.12%,73.34,71.45,845900,07/19/18
ABAX,"Abaxis Inc",83.29,0,unch,83.3,83.25,158100,07/19/18
ABCB,"Ameris Bancorp",51.7,0.1,+0.19%,51.75,51.1,247800,07/19/18
ABG,"Asbury Automotive Group Inc",69.4,-0.4,-0.57%,70.3,68.95,135700,07/19/18
ABM,"ABM Industries Incorporated",30.02,0.39,+1.32%,30.12,29.31,456200,07/19/18
ACET,"Aceto Cp",3.28,0.03,+0.92%,3.35,3.12,247800,07/19/18
ACLS,"Axcelis Tech Inc",21.8,-0.05,-0.23%,22.08,21.65,437400,07/19/18
ACOR,"Acorda Therapeutics",29.15,0.45,+1.57%,29.35,28.45,407300,07/19/18
ADC,"Agree Realty Corp",54.42,1.29,+2.43%,54.69,53.01,207400,07/19/18
ADTN,"Adtran Inc",16.45,0.4,+2.49%,16.6,15.8,615100,07/19/18
AEGN,"Aegion Corp",25.71,0.27,+1.06%,25.76,25.15,131300,07/19/18
AEIS,"Advanced Energy",60.46,-0.44,-0.72%,61.5,60.23,538700,07/19/18
AEL,"American Equity Investment Life",35.15,-0.3,-0.85%,35.64,35.03,396100,07/19/18
AGYS,"Agilysys Inc",16.44,0.01,+0.06%,16.53,16.25,156700,07/19/18
AHH,"Armada Hoffler Properties Inc",15.42,0.34,+2.25%,15.44,15.1,509900,07/19/18
AIN,"Albany International Corp",63.95,0.35,+0.55%,64.1,63.2,101300,07/19/18
AIR,"AAR Corp",47.08,0.25,+0.53%,47.27,46.48,195200,07/19/18
AIT,"Applied Industrial Technologies",75.45,1.45,+1.96%,75.65,73.7,141600,07/19/18
AJRD,"Aerojet Rocketdyne Holdings",30.41,-0.14,-0.46%,30.75,29.38,1602800,07/19/18
AKR,"Acadia Realty Trust",26.79,0.44,+1.67%,27.01,26.22,471400,07/19/18
AKS,"AK Steel Holding Corp",4.83,-0.08,-1.63%,4.89,4.78,8922000,07/19/18
ALG,"Alamo Group",90.69,0.99,+1.10%,90.89,89.37,37000,07/19/18
ALGT,"Allegiant Travel Com",143.8,0.75,+0.52%,143.95,141.85,133200,07/19/18
ALRM,Alarm.Com,44.38,0.32,+0.73%,44.7,43.55,290500,07/19/18
AMAG,"Amag Pharmaceuticals",22.15,-0.1,-0.45%,22.6,21.85,398000,07/19/18
AMBC,"Ambac Financial Grp",20.14,-0.2,-0.98%,20.37,20.06,438700,07/19/18
AMED,"Amedisys Inc",95.39,0.62,+0.65%,95.68,93.39,234500,07/19/18
AMN,"Amn Healthcare Services Inc",61.5,1.05,+1.74%,61.55,59.7,225400,07/19/18
AMPH,"Amphastar Pharma",16.64,0.27,+1.65%,16.74,16.26,161600,07/19/18
AMSF,"Amerisafe Inc",61.25,0.7,+1.16%,61.35,60.2,46800,07/19/18
AMWD,"Amer Woodmark Cp",87.6,0.1,+0.11%,89.1,86.7,240100,07/19/18
ANDE,"Andersons Inc",35,0.35,+1.01%,35.1,34.3,60400,07/19/18
ANF,"Abercrombie & Fitch Company",26.87,0.27,+1.02%,26.97,26.18,1534700,07/19/18
ANGO,"Angiodynamics Inc",21.55,0.62,+2.96%,21.65,20.9,470800,07/19/18
ANIK,"Anika Therapeutics",34.12,-0.6,-1.73%,34.99,33.68,219900,07/19/18
ANIP,"ANI Pharma Inc",70.56,-0.3,-0.42%,70.85,69.89,37600,07/19/18
APEI,"American Pub. Edu.",44.25,-0.65,-1.45%,45.7,43.4,155500,07/19/18
APOG,"Apogee Entrpr Inc",48.99,-0.22,-0.45%,49.64,48.88,160300,07/19/18
ARCB,"Arcbest Corp",46.7,1.1,+2.41%,46.8,45,306100,07/19/18
ARI,"Apollo Commercial Real Estate",18.86,0.13,+0.69%,18.89,18.7,660900,07/19/18
AROC,"Archrock Inc",12.9,0.3,+2.38%,12.95,12.7,618800,07/19/18
ARR,"Armour Residential R",23.14,0.12,+0.52%,23.23,22.97,298600,07/19/18
ASGN,"On Assignment",84.57,0.47,+0.56%,84.68,83.18,181000,07/19/18
ASIX,"Advansix Inc",40.08,0.87,+2.22%,40.11,38.74,247400,07/19/18
ASNA,"Ascena Retail Grp",3.7,0.14,+3.93%,3.76,3.51,1464800,07/19/18
ASTE,"Astec Inds Inc",61.67,0.22,+0.36%,61.75,60.9,91600,07/19/18
ATNI,"Atn International",55.17,-0.62,-1.11%,55.82,54.9,58200,07/19/18
ATU,"Actuant Corp",28.05,-0.05,-0.18%,28.2,27.85,385900,07/19/18
AVA,"Avista Corp",50.4,0.07,+0.14%,50.7,50.23,526100,07/19/18
AVAV,"Aerovironment Inc",74.94,0.46,+0.62%,75.22,74.4,202900,07/19/18
AVD,"American Vanguard Corp",21.85,-0.2,-0.91%,21.9,21.55,38600,07/19/18
AVP,"Avon Products",1.47,0,unch,1.5,1.43,4102900,07/19/18
AWR,"American States Water Company",60.84,0.73,+1.21%,60.95,59.83,111100,07/19/18
AXE,"Anixter International Inc",66,0.35,+0.53%,66.1,65.25,297400,07/19/18
AXL,"American Axle & Manufacturing",16.47,-0.56,-3.29%,17,16.43,1514800,07/19/18
AZZ,"Azz Inc",54.55,0.75,+1.39%,54.75,53.42,217100,07/19/18
B,"Barnes Group",61.88,1.24,+2.04%,62,59.96,167800,07/19/18
BABY,"Natus Medical Inc",32.55,0.5,+1.56%,32.85,31.85,256400,07/19/18
BANC,"First Pactrust Bancorp",19.25,-0.1,-0.52%,19.4,19.05,305600,07/19/18
BANR,"Banner Corp",61.89,0.22,+0.36%,62.12,61.28,133100,07/19/18
BCC,"Boise Cascade L.L.C.",45.95,0.8,+1.77%,46.05,44.75,405000,07/19/18
BCOR,"Blucora Inc",38.05,-0.2,-0.52%,38.4,37.65,176600,07/19/18
BCPC,"Balchem Cp",100.47,0.81,+0.81%,100.62,98.51,74800,07/19/18
BEAT,"Biotelemetry Inc",50.3,0.3,+0.60%,50.5,49.6,366500,07/19/18
BEL,"Belmond Ltd",11.45,0,unch,11.6,11.35,355200,07/19/18
BELFB,"Bel Fuse Inc Cl B",22.6,0.35,+1.57%,22.95,22.15,15000,07/19/18
BFS,"Saul Centers",53.72,1.24,+2.36%,54.03,52.29,37000,07/19/18
BGFV,"Big 5 Sporting",6.85,0.25,+3.79%,6.95,6.55,372900,07/19/18
BGG,"Briggs & Stratton Corp",16.84,-0.88,-4.97%,17.14,16.65,747400,07/19/18
