Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",43,-4.4,-9.28%,47.09,42.88,3865200,07/18/18
AAON,"Aaon Inc",36.35,0.6,+1.68%,36.4,35.55,104000,07/18/18
AAT,"American Assets Trust",37.3,-0.16,-0.43%,37.65,36.97,187200,07/18/18
AAWW,"Atlas Air Ww",70.55,1.45,+2.10%,70.6,69.5,182300,07/18/18
AAXN,"Axon Inc",71.55,0.91,+1.29%,72.06,69.31,654500,07/18/18
ABAX,"Abaxis Inc",83.29,-0.06,-0.07%,83.33,83.22,66600,07/18/18
ABCB,"Ameris Bancorp",51.6,0.75,+1.47%,51.7,50.75,653000,07/18/18
ABG,"Asbury Automotive Group Inc",69.8,1.05,+1.53%,69.85,66.5,304800,07/18/18
ABM,"ABM Industries Incorporated",29.63,0.29,+0.99%,29.69,29.09,398900,07/18/18
ACET,"Aceto Cp",3.25,-0.16,-4.69%,3.49,3.22,364900,07/18/18
ACLS,"Axcelis Tech Inc",21.85,0.55,+2.58%,21.9,21.25,362600,07/18/18
ACOR,"Acorda Therapeutics",28.7,-0.9,-3.04%,29.6,28.5,307800,07/18/18
ADC,"Agree Realty Corp",53.13,-0.21,-0.39%,53.27,52.62,98300,07/18/18
ADTN,"Adtran Inc",16.05,0.05,+0.31%,17.2,15.6,1497000,07/18/18
AEGN,"Aegion Corp",25.44,0.09,+0.36%,25.46,25.02,64700,07/18/18
AEIS,"Advanced Energy",60.9,0.95,+1.58%,61.15,60,1027800,07/18/18
AEL,"American Equity Investment Life",35.45,0.35,+1.00%,35.52,34.94,1516700,07/18/18
AGYS,"Agilysys Inc",16.43,-0.01,-0.06%,16.46,16.25,42400,07/18/18
AHH,"Armada Hoffler Properties Inc",15.08,0.01,+0.07%,15.13,14.97,264400,07/18/18
AIN,"Albany International Corp",63.6,0.35,+0.55%,63.65,62.6,55800,07/18/18
AIR,"AAR Corp",46.83,0.66,+1.43%,47.15,45.84,263300,07/18/18
AIT,"Applied Industrial Technologies",74,1.1,+1.51%,74.2,72.5,79900,07/18/18
AJRD,"Aerojet Rocketdyne Holdings",30.55,-0.04,-0.13%,30.67,29.95,719800,07/18/18
AKR,"Acadia Realty Trust",26.35,-0.24,-0.90%,26.64,26.15,475400,07/18/18
AKS,"AK Steel Holding Corp",4.91,0.13,+2.72%,4.99,4.79,15663601,07/18/18
ALG,"Alamo Group",89.7,-0.14,-0.16%,90.4,88.64,34100,07/18/18
ALGT,"Allegiant Travel Com",143.05,4.05,+2.91%,144.5,139.9,183900,07/18/18
ALRM,Alarm.Com,44.06,0.07,+0.16%,44.25,43.47,235600,07/18/18
AMAG,"Amag Pharmaceuticals",22.25,0.2,+0.91%,22.35,21.7,341700,07/18/18
AMBC,"Ambac Financial Grp",20.34,0.02,+0.10%,20.44,20.2,872600,07/18/18
AMED,"Amedisys Inc",94.77,1.43,+1.53%,94.87,93,392200,07/18/18
AMN,"Amn Healthcare Services Inc",60.45,-0.15,-0.25%,61,59.53,327300,07/18/18
AMPH,"Amphastar Pharma",16.37,-0.05,-0.30%,16.64,16.21,98600,07/18/18
AMSF,"Amerisafe Inc",60.55,0.25,+0.41%,60.8,60.05,32800,07/18/18
