"Name","Symbol","Last","High","Low","Chg.","Chg. %","Vol.","Time"
"8x8","EGHT","21.55","21.65","21.35","-0.05","-0.23%","853.26K","18/07"
"A Schulman","SHLM","43.20","43.50","42.95","-0.35","-0.80%","467.66K","18/07"
"AAON","AAON","36.35","36.40","35.55","+0.60","+1.68%","104.00K","18/07"
"AAR","AIR","46.83","47.15","45.84","+0.66","+1.43%","263.32K","18/07"
"ABAXIS","ABAX","83.29","83.33","83.22","-0.06","-0.07%","66.68K","18/07"
"Abercrombie&Fitch","ANF","26.60","26.71","26.12","+0.24","+0.91%","1.08M","15:59:59"
"ABM Industries","ABM","29.63","29.69","29.09","+0.29","+0.99%","398.95K","18/07"
"Acadia","AKR","26.35","26.64","26.15","-0.24","-0.90%","475.43K","18/07"
"Aceto","ACET","3.25","3.49","3.22","-0.16","-4.69%","364.95K","18/07"
"Acorda","ACOR","28.70","29.60","28.50","-0.90","-3.04%","307.89K","18/07"
"Actuant","ATU","28.10","28.25","27.75","0.00","0.00%","359.29K","15:59:59"
"ADTRAN","ADTN","16.05","17.20","15.60","+0.05","+0.31%","1.50M","15:59:59"
"Advanced Energy","AEIS","60.90","61.15","60.00","+0.95","+1.58%","1.03M","15:59:59"
"AdvanSix","ASIX","39.21","39.21","38.28","+0.89","+2.32%","204.68K","18/07"
"Aegion","AEGN","25.44","25.46","25.02","+0.09","+0.35%","64.80K","18/07"
"Aerojet Rocketdyne","AJRD","30.55","30.67","29.95","-0.04","-0.13%","719.88K","18/07"
"AeroVironment","AVAV","74.48","75.25","73.90","-0.22","-0.29%","226.04K","18/07"
"Agilysys","AGYS","16.43","16.46","16.26","-0.01","-0.06%","42.43K","18/07"
"Agree","ADC","53.13","53.27","52.62","-0.21","-0.39%","98.39K","18/07"
"AK Steel","AKS","4.910","4.988","4.790","+0.130","+2.72%","15.66M","15:59:59"
"Alamo","ALG","89.70","90.40","88.64","-0.14","-0.16%","34.13K","18/07"
"Albany","AIN","63.60","63.65","62.60","+0.35","+0.55%","55.87K","18/07"
"Allegiant","ALGT","143.05","144.50","139.90","+4.05","+2.91%","183.91K","18/07"
"Allete","ALE","77.20","77.72","76.69","-0.24","-0.31%","100.98K","18/07"
"AMAG","AMAG","22.25","22.35","21.70","+0.20","+0.91%","341.75K","18/07"
"Amedisys","AMED","94.77","94.87","93.00","+1.43","+1.53%","392.23K","18/07"
"American Assets","AAT","37.30","37.65","36.97","-0.16","-0.43%","187.29K","18/07"
"American Axle&Manufacturing","AXL","17.03","17.03","16.60","+0.30","+1.79%","1.01M","18/07"
"American Equity Inv. Life","AEL","35.45","35.52","34.94","+0.35","+1.00%","1.52M","18/07"
"American Public Education","APEI","44.90","45.25","44.00","+0.60","+1.35%","80.49K","18/07"
"American States Water","AWR","60.11","60.30","59.76","-0.16","-0.27%","161.51K","18/07"
"American Vanguard","AVD","22.05","22.08","21.80","0.00","0.00%","40.50K","18/07"
"American Woodmark","AMWD","87.50","87.65","85.90","+1.20","+1.39%","154.62K","18/07"
"Ameris","ABCB","51.60","51.70","50.75","+0.75","+1.47%","653.05K","18/07"
"AMERISAFE","AMSF","60.55","60.80","60.05","+0.25","+0.41%","32.86K","18/07"
"AMN Healthcare Services","AMN","60.45","61.00","59.53","-0.15","-0.25%","327.36K","18/07"
"Amneal Pharma A","AMRX","18.45","18.65","18.30","-0.24","-1.28%","1.64M","18/07"
"Amphastar P","AMPH","16.37","16.64","16.21","-0.05","-0.30%","98.68K","18/07"
"AngioDynamics","ANGO","20.93","21.08","20.62","-0.15","-0.71%","245.65K","18/07"
"ANI Pharma","ANIP","70.86","71.19","69.38","+0.79","+1.13%","56.36K","15:59:59"
"Anika","ANIK","34.72","35.23","34.40","-0.09","-0.26%","171.79K","18/07"
"Anixter","AXE","65.65","66.95","64.63","+0.95","+1.47%","222.55K","18/07"
"Apogee","APOG","49.21","49.96","49.10","-0.71","-1.42%","146.44K","18/07"
"Applied Industrial Technologies","AIT","74.00","74.20","72.50","+1.10","+1.51%","79.92K","18/07"
"ArcBest Corp","ARCB","45.60","45.90","44.50","+0.80","+1.79%","215.54K","18/07"
"Archrock","AROC","12.60","12.70","12.45","-0.15","-1.18%","418.46K","18/07"
"Asbury Automotive","ABG","69.80","69.85","66.50","+1.05","+1.53%","304.80K","18/07"
"ASGN","ASGN","84.10","84.36","83.03","+0.20","+0.24%","199.48K","18/07"
"Astec","ASTE","61.45","61.58","60.45","+0.69","+1.14%","66.02K","18/07"
"Atlas Air","AAWW","70.55","70.60","69.50","+1.45","+2.10%","182.38K","18/07"
"ATN Int","ATNI","55.79","55.92","54.83","+0.16","+0.29%","66.57K","18/07"
"Avista","AVA","50.33","50.59","50.15","-0.26","-0.51%","280.18K","18/07"
"Axon Enterprise","AAXN","71.55","72.06","69.31","+0.91","+1.29%","654.52K","15:59:59"
"AZZ","AZZ","53.80","54.25","53.65","-0.10","-0.19%","229.40K","18/07"
"B&G Foods","BGS","30.90","31.05","30.50","+0.10","+0.32%","614.96K","18/07"
"Badger Meter","BMI","46.95","47.05","45.80","+1.20","+2.62%","112.50K","18/07"
"Balchem","BCPC","99.66","99.81","98.22","+0.97","+0.98%","47.85K","18/07"
"Banc of California","BANC","19.35","19.40","19.00","+0.30","+1.57%","292.69K","18/07"
"Banner","BANR","61.67","61.73","61.01","+0.53","+0.87%","92.21K","18/07"
"Barnes","B","60.64","60.71","60.09","+0.32","+0.53%","141.71K","18/07"
"Barnes & Noble Education Inc","BNED","5.34","5.35","5.25","+0.01","+0.19%","282.70K","18/07"
"Barnes&Noble","BKS","5.50","5.55","5.30","+0.05","+0.92%","1.39M","18/07"
"Bel Fuse B","BELFB","22.25","22.30","21.75","+0.35","+1.60%","11.16K","18/07"
"Belmond","BEL","11.45","11.45","11.25","+0.15","+1.33%","213.02K","15:59:59"
"Benchmark Electronics","BHE","29.45","29.70","29.35","-0.05","-0.17%","259.15K","18/07"
"Big 5","BGFV","6.60","6.75","6.60","-0.10","-1.49%","135.14K","18/07"
"Biglari","BH","194.65","195.00","191.75","+2.97","+1.55%","13.76K","18/07"
"BioTelemetry","BEAT","50.000","50.050","49.250","+0.050","+0.10%","327.36K","18/07"
"BJs Restaurants","BJRI","63.80","64.05","62.55","+1.20","+1.92%","243.22K","18/07"
"Black Box","BBOX","1.75","1.85","1.50","+0.19","+12.18%","3.18M","18/07"
"Blackbaud","BLKB","116.02","116.11","113.43","+1.11","+0.97%","297.50K","18/07"
"Blucora","BCOR","38.250","38.300","37.550","+0.050","+0.13%","198.05K","18/07"
"BofI Holding","BOFI","41.02","41.35","40.55","+0.16","+0.39%","433.46K","18/07"
"Boise Cascad Llc","BCC","45.15","46.10","44.93","-1.05","-2.27%","504.10K","18/07"
"Boston Private","BPFH","16.20","16.38","15.90","+0.20","+1.25%","376.95K","18/07"
"Bottomline","EPAY","55.77","55.90","54.86","+0.19","+0.34%","234.56K","18/07"
"Boyd Gaming","BYD","37.91","38.40","37.38","-0.43","-1.12%","781.14K","15:59:59"
"Brady","BRC","36.90","37.05","36.54","-0.10","-0.27%","141.89K","18/07"
"Briggs&Stratton","BGG","17.72","17.88","17.47","+0.24","+1.37%","187.46K","18/07"
"Brinks","BCO","80.85","82.08","80.70","-1.85","-2.24%","869.94K","18/07"
"Bristow","BRS","14.31","14.56","14.19","-0.01","-0.07%","373.03K","18/07"
"Brookline Bancorp","BRKL","18.55","18.55","18.38","+0.15","+0.82%","146.61K","18/07"
"Brooks Automation","BRKS","32.76","33.15","32.54","+0.34","+1.05%","645.24K","18/07"
"Buckle","BKE","24.10","24.15","23.55","+0.50","+2.12%","222.39K","15:59:59"
"Cabot","CCMP","118.16","118.67","116.16","+1.97","+1.70%","108.29K","15:59:59"
"CACI","CACI","178.30","179.25","176.35","-0.65","-0.36%","144.71K","18/07"
"Cal-Maine","CALM","45.15","45.80","44.80","-0.70","-1.53%","252.15K","18/07"
"CalAmp","CAMP","23.31","23.84","23.00","-0.34","-1.44%","2.25M","18/07"
"Calavo Growers","CVGW","94.50","95.50","93.90","-1.25","-1.31%","193.24K","18/07"
"Caleres","CAL","35.77","35.83","34.31","+1.40","+4.07%","388.30K","18/07"
"California Water Service","CWT","40.70","40.85","40.30","0.00","0.00%","96.64K","18/07"
"Callaway Golf","ELY","18.83","18.86","18.61","+0.05","+0.27%","956.63K","18/07"
"Cambrex","CBM","56.35","56.60","55.00","+0.40","+0.71%","356.10K","18/07"
"Cantel Medical","CMD","94.89","95.95","94.27","-0.91","-0.95%","175.08K","18/07"
"Capella","CPLA","104.30","104.55","103.00","+0.60","+0.58%","33.23K","18/07"
"Capstead Mortgage","CMO","8.57","8.62","8.47","+0.08","+0.94%","1.09M","18/07"
"Carbo Ceramics","CRR","9.51","9.67","9.26","-0.10","-1.04%","254.38K","15:59:59"
"Cardtronics","CATM","27.10","28.24","26.65","-0.82","-2.94%","379.97K","18/07"
"Career","CECO","18.73","18.75","18.21","+0.36","+1.96%","399.78K","18/07"
"Caretrust Inc","CTRE","16.88","16.89","16.64","0.01","0.06%","353.00K","18/07"
"Carrizo Oil&Gas","CRZO","28.82","29.00","27.53","+0.51","+1.80%","2.21M","15:59:59"
"Cato","CATO","25.07","25.26","24.14","+0.80","+3.30%","352.88K","18/07"
"Cavco","CVCO","219.20","220.00","217.00","-0.30","-0.14%","68.79K","18/07"
"Cedar Realty","CDR","4.78","4.83","4.73","-0.01","-0.21%","248.42K","15:59:59"
"Celadon","CGIP","3.63","3.69","3.62","0.00","0.00%","17.88K","18/07"
"Central Garden&Pet","CENT","43.46","43.57","43.12","-0.16","-0.37%","66.00K","18/07"
"Central Garden&Pet A","CENTA","40.33","40.62","40.05","-0.19","-0.47%","109.61K","18/07"
"Century Aluminum","CENX","14.90","15.03","14.35","+0.13","+0.88%","1.11M","15:59:59"
"CEVA","CEVA","32.30","32.40","31.85","+0.20","+0.62%","58.07K","18/07"
"Chart Industries","GTLS","68.00","68.13","66.75","+0.92","+1.37%","531.77K","18/07"
"Chemed","CHE","327.91","328.58","325.10","+1.97","+0.60%","150.79K","18/07"
"Chemours Co","CC","45.790","46.300","44.650","+1.570","+3.55%","2.02M","15:59:59"
"Chesapeake Lodging","CHSP","32.12","32.14","31.77","+0.21","+0.66%","328.70K","18/07"
"Chuy's Holdings","CHUY","33.000","33.000","31.700","+1.200","+3.77%","147.84K","18/07"
"Cincinnati Bell","CBB","14.250","14.450","14.050","-0.150","-1.04%","655.72K","18/07"
"CIRCOR","CIR","40.13","40.40","39.52","+0.41","+1.03%","232.27K","18/07"
"City Holding","CHCO","76.89","76.99","76.19","+0.45","+0.59%","78.98K","18/07"
"Clearwater Paper","CLW","23.70","23.80","23.25","+0.10","+0.42%","130.05K","18/07"
"Cloud Peak Energy","CLD","3.340","3.350","3.120","+0.230","+7.40%","445.03K","18/07"
"CMTSU Liquidation","CBRI","0.004","0.004","0.003","-0.002","-30.00%","4.69K","14:07:00"
"Cogent","CCOI","52.60","53.95","52.55","-1.70","-3.13%","228.27K","18/07"
"Coherent","COHR","172.08","172.22","164.98","+6.98","+4.23%","554.92K","15:59:59"
"Cohu","COHU","26.16","26.21","25.54","+0.41","+1.59%","456.88K","18/07"
"Columbia Banking","COLB","41.69","41.77","41.13","+0.55","+1.34%","231.30K","18/07"
"Comfort Systems","FIX","47.80","47.80","47.00","+0.25","+0.53%","186.31K","18/07"
"Community Bank System","CBU","62.11","62.16","61.29","+0.76","+1.24%","257.25K","18/07"
"Community Health Systems","CYH","2.76","2.79","2.68","+0.01","+0.36%","2.99M","15:59:59"
"Computer Programs&Systems","CPSI","33.55","33.65","33.16","-0.15","-0.45%","144.30K","18/07"
"Comtech","CMTL","34.42","34.55","34.01","+0.20","+0.58%","94.90K","18/07"
"CONMED","CNMD","73.58","74.86","73.45","-0.40","-0.54%","195.77K","18/07"
"Consolidated Communications","CNSL","12.28","12.57","12.14","-0.22","-1.76%","732.08K","18/07"
"Contango Oil&Gas","MCF","6.47","6.57","5.96","+0.47","+7.83%","30.30K","17/07"
"Cooper Stnd","CPS","137.67","138.12","134.99","+2.76","+2.05%","174.49K","18/07"
"Core-Mark","CORE","23.95","23.96","23.53","+0.32","+1.35%","598.81K","18/07"
"CoreSite","COR","112.49","113.62","112.07","-0.77","-0.68%","178.24K","18/07"
"Corindus Vascular Robotics","CR3","0.848","0.878","0.848","+0.004","+0.47%","0","10:45:00"
"CorVel","CRVL","55.50","55.65","54.30","0.00","0.00%","26.41K","18/07"
"CPB","CPF","29.07","29.26","28.86","+0.10","+0.35%","188.93K","18/07"
"Cray","CRAY","25.30","25.50","25.05","+0.05","+0.20%","225.56K","18/07"
"Crocs","CROX","17.69","17.71","17.11","+0.35","+2.02%","795.03K","15:59:59"
"Cross Country","CCRN","11.86","11.99","11.77","-0.07","-0.59%","117.49K","18/07"
"CryoLife","CRY","29.40","29.50","29.05","+0.05","+0.17%","71.85K","18/07"
"CSG Systems","CSGS","40.99","41.26","40.50","-0.03","-0.07%","141.99K","18/07"
"CTS Corp","CTS","36.90","37.13","36.36","-0.25","-0.67%","192.78K","18/07"
"Cubic","CUB","69.15","69.40","68.40","+0.15","+0.22%","179.57K","18/07"
"Customers Bancorp","CUBI","29.21","29.25","28.81","+0.36","+1.25%","72.30K","18/07"
"CVB Financial","CVBF","22.52","22.56","22.19","+0.27","+1.21%","610.06K","18/07"
"Daktronics","DAKT","8.54","8.57","8.40","+0.10","+1.18%","100.54K","18/07"
"Darling Ingredients","DAR","19.74","19.97","19.64","-0.20","-1.00%","648.01K","15:59:59"
"Dave & Buster’s Entertainment","PLAY","49.08","49.83","48.27","+0.82","+1.70%","968.70K","15:59:59"
"Depomed","DEPO","8.21","8.33","8.05","-0.05","-0.61%","1.40M","18/07"
"DHI Group","DHX","2.15","2.20","2.10","0.00","0.00%","401.25K","18/07"
"Diamondrock Hospitality","DRH","12.18","12.28","12.06","-0.03","-0.25%","1.60M","18/07"
"Digi","DGII","13.65","13.70","13.45","+0.10","+0.74%","30.18K","18/07"
"Dime Community","DCOM","19.90","20.00","19.80","0.00","0.00%","61.24K","18/07"
"DineEquity","DIN","70.37","71.63","69.46","-0.18","-0.26%","359.29K","18/07"
"Diodes","DIOD","37.78","38.05","36.84","+0.92","+2.50%","510.12K","18/07"
"Diplomat Pharmacy","DPLO","26.17","26.19","25.58","+0.28","+1.08%","544.36K","18/07"
"Donnelley Financial Solutions","DFIN","20.25","20.34","19.77","+0.42","+2.12%","161.47K","18/07"
"Dorman","DORM","73.11","73.21","70.91","+2.12","+2.99%","141.62K","18/07"
"DSP Group","DSPG","12.85","13.05","12.85","-0.10","-0.77%","127.86K","18/07"
"DXP Enterprises","DXPE","42.33","42.62","41.82","+0.28","+0.67%","26.27K","18/07"
"Eagle Pharm","EGRX","82.48","83.77","81.00","+0.50","+0.61%","198.98K","18/07"
"EastGroup Properties","EGP","94.79","95.63","94.40","-0.52","-0.55%","163.81K","18/07"
"Ebix","EBIX","81.85","82.05","80.35","+0.60","+0.74%","79.84K","18/07"
"Echo Global","ECHO","29.35","29.45","28.80","+0.40","+1.38%","371.62K","18/07"
"eHealth","EHTH","24.36","24.48","23.95","+0.37","+1.54%","90.75K","18/07"
"El Paso Electric","EE","60.30","60.40","59.50","0.00","0.00%","142.28K","18/07"
"El Pollo Loco Holdings Inc","LOCO","11.75","11.75","11.40","+0.25","+2.17%","111.35K","18/07"
"Electro Scientific","ESIO","18.42","18.45","17.75","+0.57","+3.19%","640.83K","18/07"
"Electronics for Imaging","EFII","34.62","35.02","34.50","-0.18","-0.52%","207.68K","18/07"
"Emergent Biosolutions","EBS","54.73","54.85","53.74","+0.30","+0.55%","133.53K","18/07"
"Employers","EIG","41.75","42.15","41.60","-0.05","-0.12%","109.38K","18/07"
"Enanta","ENTA","125.60","127.20","122.86","+1.89","+1.53%","202.63K","18/07"
"Encore Capital","ECPG","36.35","36.55","35.35","+0.65","+1.82%","1.18M","18/07"
"Encore Wire","WIRE","49.15","49.18","48.25","+0.60","+1.24%","36.68K","18/07"
"Engility","EGL","34.880","34.960","34.670","+0.060","+0.17%","86.39K","18/07"
"Enova International Inc","ENVA","37.60","37.70","37.00","-0.15","-0.40%","239.87K","18/07"
